time,black,white,temperature,luminosity,albedo
0,180,180,16.91353620493854,1.0,0.43999999999999645
1,391,171,23.459866385536913,1.0,0.4013333333333321
2,542,232,28.041306262118027,1.0,0.39988888888888835
3,568,307,29.845952392586977,1.0,0.4247222222222222
4,567,326,30.35746083873431,1.0,0.4322777777777778
5,563,332,30.364721118626935,1.0,0.43527777777777776
6,561,338,30.139002722618255,1.0,0.4379444444444444
7,558,337,29.97444689483529,1.0,0.43805555555555553
8,552,344,29.820351921278696,1.0,0.4417777777777778
9,550,347,29.472191194954465,1.0,0.4432777777777777
10,544,354,29.1046592334745,1.0,0.44699999999999995
11,539,359,28.657746975939787,1.0,0.4497777777777777
12,539,360,28.364063804442875,1.0,0.45016666666666666
13,539,360,28.121250451920222,1.0,0.45016666666666666
14,534,365,27.850624613432817,1.0,0.4529444444444444
15,534,366,27.63329388351735,1.0,0.4533333333333333
16,532,368,27.4545118372187,1.0,0.45444444444444443
17,530,370,27.31799195493154,1.0,0.45555555555555555
18,530,369,27.20368504216899,1.0,0.45516666666666666
19,534,366,27.22114224827382,1.0,0.4533333333333333
20,540,359,27.446317626349483,1.0,0.4496111111111111
21,537,362,27.540206523346306,1.0,0.4512777777777778
22,539,360,27.581245740274284,1.0,0.45016666666666666
23,536,364,27.502958197736614,1.0,0.45222222222222225
24,530,369,27.41061948808693,1.0,0.45516666666666666
25,528,371,27.205874517279412,1.0,0.4562777777777777
26,352,532,22.983972369045453,1.0,0.548222222222222
27,273,605,17.707853629042443,1.0,0.5897777777777775
28,315,561,15.086978905418228,1.0,0.5656666666666664
29,355,540,13.878951963911033,1.0,0.5508333333333333
30,368,528,13.467116633384842,1.0,0.544
31,378,517,13.52912337608604,1.0,0.5380555555555555
32,381,513,13.72271527057715,1.0,0.5359999999999999
33,388,503,14.086330547672482,1.0,0.5309444444444444
34,393,498,14.591093723034515,1.0,0.5281666666666666
35,403,488,15.115285892980177,1.0,0.522611111111111
36,406,484,15.59010965894684,1.0,0.5205555555555555
37,410,478,16.074640722746608,1.0,0.5175555555555555
38,415,471,16.588749317000527,1.0,0.5139999999999999
39,422,464,17.122871343378826,1.0,0.5101111111111111
40,430,453,17.797742445783403,1.0,0.5044999999999998
41,436,446,18.465004774578013,1.0,0.5007777777777777
42,442,442,19.052535671193954,1.0,0.49822222222222207
43,443,441,19.458263452552224,1.0,0.49766666666666654
44,444,440,19.762196278418166,1.0,0.49711111111111095
45,450,435,20.128750087207102,1.0,0.49416666666666653
46,455,429,20.51122052974784,1.0,0.49099999999999994
47,458,427,20.811594042304282,1.0,0.48972222222222217
48,465,424,21.17931175648908,1.0,0.48738888888888887
49,478,414,21.742319760577477,1.0,0.4813333333333333
50,480,411,22.195661050912253,1.0,0.4798333333333332
51,590,292,25.866235071510072,1.0,0.41522222222222227
52,641,220,30.716990185620638,1.0,0.37872222222222224
53,611,272,32.902086873010596,1.0,0.4039444444444444
54,576,311,32.85196261665953,1.0,0.42494444444444435
55,563,330,32.06833471136824,1.0,0.43449999999999994
56,551,337,31.24172927185427,1.0,0.4392222222222222
57,548,340,30.570442712384832,1.0,0.4408888888888888
58,544,343,30.047539735220717,1.0,0.442722222222222
59,542,347,29.64269596748242,1.0,0.44461111111111096
