time,black,white,temperature,luminosity,albedo
0,180,720,-1.9965885219056738,1.0,0.65
1,230,660,-1.10456819289349,1.0,0.6183333333333332
2,259,633,0.38488103899336173,1.0,0.6029999999999999
3,281,613,1.9872886502353504,1.0,0.5915555555555555
4,313,580,4.029066343231433,1.0,0.5733888888888888
5,350,539,6.559321310319731,1.0,0.5512777777777778
6,375,513,9.007147690714737,1.0,0.5369999999999999
7,399,491,11.286799924648497,1.0,0.5244444444444445
8,422,467,13.528711075142226,1.0,0.5112777777777777
9,444,448,15.593180098654283,1.0,0.5002222222222222
10,472,422,17.71405465760654,1.0,0.4854444444444444
11,500,398,19.87174155155599,1.0,0.4714444444444444
12,514,385,21.713261519682046,1.0,0.46405555555555555
13,539,359,23.741325758760844,1.0,0.4497777777777778
14,553,346,25.61526620442506,1.0,0.4423888888888889
15,567,332,27.190459724116867,1.0,0.43461111111111106
16,580,320,28.56406354593014,1.0,0.42777777777777776
17,587,312,29.770681657608563,1.0,0.4235
18,597,302,30.8296693170423,1.0,0.4179444444444444
19,612,287,32.030397614050145,1.0,0.4096111111111111
20,619,279,33.15872336077118,1.0,0.40533333333333327
21,626,272,33.98740091882119,1.0,0.40144444444444444
22,623,273,34.50319114370762,1.0,0.4023333333333334
23,625,269,35.009877818821465,1.0,0.40044444444444444
24,621,272,35.26544269954279,1.0,0.40227777777777773
25,618,273,35.28026659827975,1.0,0.4031666666666667
26,562,327,33.97411444872829,1.0,0.4335
27,527,368,31.74617117855455,1.0,0.4552777777777778
28,497,400,29.324093625969105,1.0,0.47272222222222227
29,466,431,26.802721589832018,1.0,0.4899444444444445
30,435,465,24.073724400880643,1.0,0.5083333333333333
31,412,488,21.584371762515502,1.0,0.5211111111111111
32,394,505,19.374035943390762,1.0,0.5307222222222222
33,384,512,17.64971728705214,1.0,0.535111111111111
34,377,520,16.30142994394845,1.0,0.5393888888888889
35,368,529,15.136763630702648,1.0,0.5443888888888888
36,357,535,14.167798356553378,1.0,0.5485555555555555
37,354,539,13.35657986285978,1.0,0.550611111111111
38,354,537,12.895572581521062,1.0,0.5498333333333333
39,363,527,12.828382296173485,1.0,0.5444444444444443
40,377,515,13.180762628291072,1.0,0.5374444444444444
41,387,507,13.630727976614782,1.0,0.5326666666666666
42,404,490,14.475850942165264,1.0,0.5232222222222221
43,420,473,15.49643110854892,1.0,0.5139444444444444
44,441,457,16.640352087983054,1.0,0.5042222222222221
45,462,437,18.082400161550787,1.0,0.4929444444444444
46,480,419,19.482770094624172,1.0,0.4829444444444444
47,493,405,20.885259803487738,1.0,0.4753333333333333
48,511,389,22.298983419854856,1.0,0.4661111111111111
49,531,368,23.824306394302408,1.0,0.4546111111111111
50,546,353,25.313287648112205,1.0,0.4462777777777778
51,581,318,27.364920085102383,1.0,0.4268333333333333
52,606,293,29.427860656948045,1.0,0.4129444444444444
53,612,286,31.250329607071237,1.0,0.4092222222222222
54,615,281,32.5498018551281,1.0,0.40677777777777774
55,617,280,33.519237331786066,1.0,0.4060555555555556
56,611,286,33.878699661552275,1.0,0.40938888888888886
57,602,294,33.877025879790395,1.0,0.41400000000000003
58,583,312,33.33645304086664,1.0,0.4241666666666667
59,561,336,32.36669890725357,1.0,0.43716666666666665
60,540,356,31.024600483033332,1.0,0.4484444444444445
61,527,368,29.648266851794194,1.0,0.4552777777777778
62,519,377,28.485878919120005,1.0,0.46011111111111114
63,502,395,27.267920331029785,1.0,0.46994444444444444
64,489,408,26.045410824821765,1.0,0.47716666666666674
65,469,428,24.674654840385454,1.0,0.48827777777777776
66,455,442,23.265685917484017,1.0,0.4960555555555555
67,442,456,22.0181038320983,1.0,0.5036666666666666
68,424,474,20.577702122671084,1.0,0.5136666666666666
69,411,487,19.229227176839196,1.0,0.5208888888888888
70,407,492,18.221204673666506,1.0,0.5235
71,397,503,17.24700762300932,1.0,0.5294444444444445
72,393,507,16.458591140076216,1.0,0.5316666666666666
73,395,503,15.999670331941457,1.0,0.5297777777777778
74,395,504,15.695601709688429,1.0,0.5301666666666667
75,397,500,15.57189279131562,1.0,0.5282777777777777
76,406,488,15.82459495232847,1.0,0.5221111111111111
77,418,478,16.254640513955508,1.0,0.5162222222222222
78,438,459,17.1171432558821,1.0,0.5055000000000001
79,463,437,18.3591333915083,1.0,0.49277777777777776
80,493,407,20.06203150404731,1.0,0.4761111111111111
81,518,382,21.923864049020917,1.0,0.4622222222222222
82,538,362,23.766706003956546,1.0,0.45111111111111113
83,550,349,25.42915858910082,1.0,0.44405555555555554
84,575,322,27.3004119695936,1.0,0.4293888888888889
85,586,313,28.818808576390374,1.0,0.4240555555555555
86,586,314,29.967588242891136,1.0,0.42444444444444446
87,584,314,30.58172781483946,1.0,0.4247777777777778
88,581,316,31.038582931804676,1.0,0.42605555555555563
89,575,323,31.17543341077242,1.0,0.4297777777777778
90,571,324,31.125439621209598,1.0,0.43083333333333335
91,566,333,30.903847723501823,1.0,0.43516666666666665
92,557,339,30.52339160259895,1.0,0.43899999999999995
93,553,343,30.101826737993132,1.0,0.4412222222222221
94,535,358,29.40977914596229,1.0,0.4500555555555555
95,517,375,28.493950359234056,1.0,0.4596666666666666
96,507,384,27.54290970211001,1.0,0.4648333333333332
97,501,392,26.722130386222876,1.0,0.4689444444444444
98,490,404,25.755223725187527,1.0,0.4754444444444444
99,480,414,24.843002484905828,1.0,0.4809999999999999
100,472,426,23.904079174985657,1.0,0.48699999999999993
101,452,448,22.583482523614386,1.0,0.4988888888888889
102,435,462,21.35428586746678,1.0,0.5071666666666665
103,421,474,20.171517618046092,1.0,0.5141666666666665
104,409,489,19.005798405732907,1.0,0.522
105,404,495,17.897376445010583,1.0,0.5251666666666667
106,399,501,17.02045431958932,1.0,0.5283333333333333
107,400,498,16.48280745408373,1.0,0.5269999999999999
108,413,487,16.44315702424249,1.0,0.5205555555555555
109,415,485,16.494945763378958,1.0,0.5194444444444445
110,429,470,16.952391024637553,1.0,0.5112777777777777
111,449,450,17.873305022426997,1.0,0.5001666666666666
112,461,437,18.822812837097647,1.0,0.4931111111111111
113,479,417,20.06695722758715,1.0,0.4823333333333333
114,498,399,21.43121564247284,1.0,0.47216666666666657
115,513,383,22.794841842097878,1.0,0.4634444444444443
116,529,366,24.221666500059282,1.0,0.45416666666666655
117,540,349,25.62789440440198,1.0,0.445722222222222
118,557,335,27.00062763850269,1.0,0.4374444444444443
119,568,325,28.271234547863756,1.0,0.4317222222222221
120,582,310,29.478053695185466,1.0,0.42355555555555535
121,588,305,30.527717965345584,1.0,0.42061111111111105
122,590,302,31.32600713331752,1.0,0.41911111111111105
123,585,305,31.79478359488401,1.0,0.42111111111111105
124,580,314,31.911451500289377,1.0,0.4254444444444443
125,577,317,31.810601176623717,1.0,0.427111111111111
126,565,320,31.70707537635734,1.0,0.43027777777777754
