max_age,init_white,time,black,white,temperature,luminosity,albedo
25,0.2,0,180,180,16.91353620493854,1.0,0.43999999999999645
25,0.2,5,563,332,30.364721118626935,1.0,0.43527777777777776
25,0.2,45,450,435,20.128750087207102,1.0,0.49416666666666653
25,0.8,0,180,720,-1.9965885219056738,1.0,0.65
25,0.8,5,350,539,6.559321310319731,1.0,0.5512777777777778
25,0.8,45,462,437,18.082400161550787,1.0,0.4929444444444444
40,0.2,0,180,180,16.91353620493854,1.0,0.43999999999999645
40,0.2,5,572,325,30.402859472220026,1.0,0.43105555555555547
40,0.2,45,306,587,10.06772344529563,1.0,0.5772777777777778
40,0.8,0,180,720,-1.9965885219056738,1.0,0.65
40,0.8,5,274,619,2.507182556780308,1.0,0.5950555555555556
40,0.8,45,487,413,25.956334563452835,1.0,0.47944444444444445
