time,cwnd_first,cwnd_mean,queue,average_queue,drop_probability,throughput_mbps
0.0,1.0,1.0,0.0,0.0,0.0,0.8474576271186445
0.002,1.0169491525423728,1.0169491525423728,0.0,0.0,0.0,0.8618213157138757
0.004,1.0341855788566503,1.0341855788566503,0.0,0.0,0.0,0.8764284566581785
0.006,1.0517141479898138,1.0517141479898138,0.0,0.0,0.0,0.8912831762625537
0.008,1.069539811515065,1.0695398115150647,0.0,0.0,0.0,0.9063896707754787
0.01,1.0876676049305745,1.0876676049305742,0.0,0.0,0.0,0.9217522075682832
0.012,1.1061026490819401,1.1061026490819401,0.0,0.0,0.0,0.9373751263406277
0.014,1.1248501516087526,1.1248501516087526,0.0,0.0,0.0,0.9532628403464002
0.016,1.1439154084156806,1.1439154084156806,0.0,0.0,0.0,0.9694198376404068
0.018,1.1633038051684887,1.163303805168489,0.0,0.0,0.0,0.9858506823461766
0.02,1.1830208188154123,1.1830208188154123,0.0,0.0,0.0,1.0025600159452643
0.022,1.2030720191343176,1.2030720191343176,0.0,0.0,0.0,1.0195525585884049
0.024,1.2234630703060858,1.2234630703060858,0.0,0.0,0.0,1.0368331104288864
0.026,1.2441997325146636,1.2441997325146636,0.0,0.0,0.0,1.0544065529785287
0.028,1.2652878635742342,1.2652878635742342,0.0,0.0,0.0,1.072277850486639
0.03,1.286733420583967,1.286733420583967,0.0,0.0,0.0,1.0904520513423444
0.032,1.308542461610814,1.3085424616108137,0.0,0.0,0.0,1.1089342895006904
0.034,1.3307211474008276,1.3307211474008276,0.0,0.0,0.0,1.1277297859329045
0.036,1.3532757431194857,1.3532757431194855,0.0,0.0,0.0,1.1468438501012592
0.038,1.376212620121511,1.376212620121511,0.0,0.0,0.0,1.1662818814589078
0.04,1.3995382577506892,1.3995382577506894,0.0,0.0,0.0,1.1860493709751598
0.042,1.4232592451701924,1.4232592451701924,0.0,0.0,0.0,1.2061519026866037
0.044,1.4473822832239245,1.4473822832239245,0.0,0.0,0.0,1.2265951552745125
0.046,1.4719141863294147,1.4719141863294147,0.0,0.0,0.0,1.247384903668996
0.048,1.4968618844027946,1.496861884402795,0.0,0.0,0.0,1.2685270206803343
0.05,1.5222324248164012,1.5222324248164012,0.0,0.0,0.0,1.2900274786579677
0.052,1.5480329743895604,1.548032974389561,0.0,0.0,0.0,1.311892351177594
0.054,1.5742708214131123,1.5742708214131127,0.0,0.0,0.0,1.334127814756875
0.056,1.6009533777082499,1.6009533777082499,0.0,0.0,0.0,1.3567401506002112
0.058,1.628088180720254,1.628088180720254,0.0,0.0,0.0,1.3797357463730968
0.06,1.655682895647716,1.6556828956477159,0.0,0.0,0.0,1.403121098006538
0.062,1.683745317607847,1.6837453176078467,0.0,0.0,0.0,1.4269028115320732
