time,city,susceptible,infected,recovered,total
0,1,1000,0,0,1000
0,2,1000,0,0,1000
0,3,999,1,0,1000
1,1,982,0,0,982
1,2,1009,0,0,1009
1,3,1006,3,0,1009
2,1,971,1,0,972
2,2,997,1,0,998
2,3,1028,2,0,1030
3,1,1032,0,0,1032
3,2,939,5,0,944
3,3,1022,2,0,1024
4,1,996,6,0,1002
4,2,985,1,0,986
4,3,1006,6,0,1012
5,1,984,10,0,994
5,2,990,5,0,995
5,3,1007,4,0,1011
6,1,995,14,0,1009
6,2,988,8,0,996
6,3,985,10,0,995
7,1,976,14,0,990
7,2,953,15,0,968
7,3,1026,16,0,1042
8,1,966,27,0,993
8,2,1011,17,0,1028
8,3,948,31,0,979
9,1,918,33,0,951
9,2,992,44,0,1036
9,3,978,35,0,1013
10,1,932,46,0,978
10,2,969,51,0,1020
10,3,921,81,0,1002
11,1,887,81,0,968
11,2,890,100,0,990
11,3,941,101,0,1042
12,1,886,125,0,1011
12,2,838,138,0,976
12,3,841,172,0,1013
13,1,804,192,0,996
13,2,780,222,2,1004
13,3,712,288,0,1000
14,1,710,329,1,1040
14,2,640,325,1,966
14,3,569,424,1,994
15,1,510,502,0,1012
15,2,400,576,0,976
15,3,352,658,2,1012
16,1,253,751,3,1007
16,2,85,930,1,1016
16,3,0,976,1,977
17,1,0,991,0,991
17,2,0,1042,0,1042
17,3,0,967,0,967
18,1,0,997,0,997
18,2,0,1021,0,1021
18,3,0,981,0,981
19,1,0,951,0,951
19,2,0,1075,0,1075
19,3,0,973,0,973
20,1,0,1012,2,1014
20,2,0,1029,0,1029
20,3,0,956,0,956
21,1,0,971,1,972
21,2,0,1002,2,1004
21,3,0,1023,0,1023
22,1,0,1037,3,1040
22,2,0,959,1,960
22,3,0,997,0,997
23,1,0,980,10,990
23,2,0,976,6,982
23,3,0,1021,4,1025
24,1,0,962,24,986
24,2,0,1002,9,1011
24,3,0,993,4,997
25,1,0,910,34,944
25,2,0,996,23,1019
25,3,0,1024,5,1029
26,1,0,920,65,985
26,2,0,954,44,998
26,3,0,994,9,1003
27,1,0,826,149,975
27,2,0,959,46,1005
27,3,0,964,31,995
28,1,0,746,228,974
28,2,0,867,114,981
28,3,0,992,14,1006
29,1,0,797,212,1009
29,2,0,835,77,912
29,3,0,1027,3,1030
30,1,0,909,22,931
30,2,0,989,0,989
30,3,0,1027,0,1027
31,1,0,1006,0,1006
31,2,0,968,0,968
31,3,0,973,0,973
32,1,0,977,0,977
32,2,0,946,0,946
32,3,0,1023,0,1023
33,1,0,972,1,973
33,2,0,1000,0,1000
33,3,0,970,2,972
34,1,0,932,1,933
34,2,0,968,0,968
34,3,0,1044,0,1044
35,1,0,982,0,982
35,2,0,983,1,984
35,3,0,976,2,978
36,1,0,993,13,1006
36,2,0,946,6,952
36,3,0,985,0,985
37,1,0,999,17,1016
37,2,0,950,9,959
37,3,0,962,4,966
38,1,0,961,40,1001
38,2,0,951,8,959
38,3,0,968,10,978
39,1,0,913,94,1007
39,2,0,937,28,965
39,3,0,951,11,962
40,1,0,860,120,980
40,2,0,927,56,983
40,3,0,932,30,962
41,1,0,720,212,932
41,2,0,850,118,968
41,3,0,987,23,1010
42,1,0,759,222,981
42,2,0,825,133,958
42,3,0,946,13,959
43,1,0,902,87,989
43,2,0,996,0,996
43,3,0,903,0,903
44,1,0,957,0,957
44,2,0,991,0,991
44,3,0,940,0,940
45,1,0,958,0,958
45,2,0,994,0,994
45,3,0,935,0,935
46,1,0,898,2,900
46,2,0,1005,0,1005
46,3,0,981,1,982
47,1,0,971,1,972
47,2,0,961,0,961
47,3,0,953,0,953
48,1,0,991,0,991
48,2,0,971,2,973
48,3,0,919,2,921
49,1,0,959,13,972
49,2,0,920,2,922
49,3,0,984,6,990
50,1,0,964,29,993
50,2,0,933,6,939
50,3,0,950,2,952
51,1,0,923,46,969
51,2,0,975,9,984
51,3,0,925,4,929
52,1,0,874,66,940
52,2,0,979,8,987
52,3,0,943,12,955
53,1,0,863,97,960
53,2,0,933,26,959
53,3,0,938,14,952
54,1,0,752,171,923
54,2,0,888,48,936
54,3,0,979,17,996
55,1,0,702,216,918
55,2,0,894,71,965
55,3,0,950,13,963
56,1,0,780,159,939
56,2,0,945,2,947
56,3,0,947,2,949
57,1,0,950,1,951
57,2,0,952,0,952
57,3,0,931,0,931
58,1,0,962,0,962
58,2,0,951,0,951
58,3,0,921,0,921
59,1,0,952,3,955
59,2,0,956,0,956
59,3,0,921,0,921
60,1,0,924,1,925
60,2,0,922,0,922
60,3,0,985,0,985
61,1,0,908,2,910
61,2,0,974,3,977
61,3,0,944,1,945
62,1,0,937,10,947
62,2,0,972,2,974
62,3,0,908,1,909
63,1,0,952,15,967
63,2,0,910,6,916
63,3,0,939,6,945
64,1,0,889,31,920
64,2,0,924,8,932
64,3,0,969,4,973
65,1,0,885,55,940
65,2,0,945,12,957
65,3,0,912,10,922
66,1,0,834,85,919
66,2,0,909,31,940
66,3,0,942,11,953
67,1,0,819,143,962
67,2,0,856,47,903
67,3,0,917,23,940
68,1,0,727,198,925
68,2,0,827,95,922
68,3,0,936,10,946
69,1,0,788,149,937
69,2,0,900,9,909
69,3,0,935,3,938
70,1,0,950,1,951
70,2,0,926,0,926
70,3,0,905,0,905
71,1,0,922,0,922
71,2,0,910,0,910
71,3,0,949,0,949
72,1,0,914,3,917
72,2,0,920,0,920
72,3,0,942,0,942
73,1,0,937,1,938
73,2,0,869,0,869
73,3,0,972,0,972
74,1,0,878,2,880
74,2,0,965,2,967
74,3,0,932,0,932
75,1,0,902,4,906
75,2,0,942,2,944
75,3,0,925,1,926
76,1,0,892,16,908
76,2,0,917,3,920
76,3,0,941,5,946
77,1,0,901,28,929
77,2,0,899,8,907
77,3,0,930,5,935
78,1,0,886,62,948
78,2,0,896,13,909
78,3,0,901,7,908
79,1,0,838,111,949
79,2,0,888,17,905
79,3,0,891,12,903
80,1,0,768,144,912
80,2,0,852,52,904
80,3,0,922,16,938
81,1,0,688,215,903
81,2,0,800,94,894
81,3,0,918,25,943
82,1,0,681,192,873
82,2,0,914,24,938
82,3,0,906,7,913
83,1,0,912,20,932
83,2,0,917,0,917
83,3,0,873,0,873
84,1,0,930,0,930
84,2,0,901,0,901
84,3,0,891,0,891
85,1,0,914,2,916
85,2,0,913,1,914
85,3,0,891,0,891
86,1,0,922,0,922
86,2,0,870,0,870
86,3,0,929,0,929
87,1,0,937,2,939
87,2,0,905,0,905
87,3,0,876,0,876
88,1,0,905,5,910
88,2,0,892,3,895
88,3,0,915,0,915
89,1,0,858,13,871
89,2,0,934,4,938
89,3,0,908,2,910
90,1,0,890,16,906
90,2,0,915,8,923
90,3,0,885,3,888
91,1,0,800,39,839
91,2,0,897,12,909
91,3,0,955,8,963
92,1,0,861,65,926
92,2,0,908,11,919
92,3,0,845,16,861
93,1,0,759,104,863
93,2,0,896,43,939
93,3,0,887,8,895
94,1,0,703,174,877
94,2,0,800,91,891
94,3,0,902,16,918
95,1,0,717,182,899
95,2,0,822,45,867
95,3,0,901,6,907
96,1,0,805,56,861
96,2,0,885,1,886
96,3,0,923,0,923
97,1,0,888,0,888
97,2,0,873,0,873
97,3,0,909,0,909
98,1,0,879,0,879
98,2,0,891,1,892
98,3,0,898,1,899
99,1,0,894,1,895
99,2,0,901,0,901
99,3,0,874,0,874
100,1,0,877,4,881
100,2,0,924,2,926
100,3,0,863,0,863
