time,susceptible,infected,recovered,total,deaths
0,2999,1,0,3000,0
1,2997,3,0,3000,0
2,2996,4,0,3000,0
3,2993,7,0,3000,0
4,2987,13,0,3000,0
5,2981,19,0,3000,0
6,2968,32,0,3000,0
7,2955,45,0,3000,0
8,2925,75,0,3000,0
9,2888,112,0,3000,0
10,2822,178,0,3000,0
11,2718,282,0,3000,0
12,2565,435,0,3000,0
13,2296,702,2,3000,0
14,1919,1078,3,3000,0
15,1262,1736,2,3000,0
16,338,2657,5,3000,0
17,0,3000,0,3000,0
18,0,2999,0,2999,1
19,0,2999,0,2999,1
20,0,2997,2,2999,1
21,0,2996,3,2999,1
22,0,2993,4,2997,3
23,0,2977,20,2997,3
24,0,2957,37,2994,6
25,0,2930,62,2992,8
26,0,2868,118,2986,14
27,0,2749,226,2975,25
28,0,2605,356,2961,39
29,0,2659,292,2951,49
30,0,2925,22,2947,53
31,0,2947,0,2947,53
32,0,2946,0,2946,54
33,0,2942,3,2945,55
34,0,2944,1,2945,55
35,0,2941,3,2944,56
36,0,2924,19,2943,57
37,0,2911,30,2941,59
38,0,2880,58,2938,62
39,0,2801,133,2934,66
40,0,2719,206,2925,75
41,0,2557,353,2910,90
42,0,2530,368,2898,102
43,0,2801,87,2888,112
44,0,2888,0,2888,112
45,0,2887,0,2887,113
46,0,2884,3,2887,113
47,0,2885,1,2886,114
48,0,2881,4,2885,115
49,0,2863,21,2884,116
50,0,2847,37,2884,116
51,0,2823,59,2882,118
52,0,2796,86,2882,118
53,0,2734,137,2871,129
54,0,2619,236,2855,145
55,0,2546,300,2846,154
56,0,2672,163,2835,165
57,0,2833,1,2834,166
58,0,2834,0,2834,166
59,0,2829,3,2832,168
60,0,2831,1,2832,168
61,0,2826,6,2832,168
62,0,2817,13,2830,170
63,0,2801,27,2828,172
64,0,2782,43,2825,175
65,0,2742,77,2819,181
66,0,2685,127,2812,188
67,0,2592,213,2805,195
68,0,2490,303,2793,207
69,0,2623,161,2784,216
70,0,2781,1,2782,218
71,0,2781,0,2781,219
72,0,2776,3,2779,221
73,0,2778,1,2779,221
74,0,2775,4,2779,221
75,0,2769,7,2776,224
76,0,2750,24,2774,226
77,0,2730,41,2771,229
78,0,2683,82,2765,235
79,0,2617,140,2757,243
80,0,2542,212,2754,246
81,0,2406,334,2740,260
82,0,2501,223,2724,276
83,0,2702,20,2722,278
84,0,2722,0,2722,278
85,0,2718,3,2721,279
86,0,2721,0,2721,279
87,0,2718,2,2720,280
88,0,2712,8,2720,280
89,0,2700,19,2719,281
90,0,2690,27,2717,283
91,0,2652,59,2711,289
92,0,2614,92,2706,294
93,0,2542,155,2697,303
94,0,2405,281,2686,314
95,0,2440,233,2673,327
96,0,2613,57,2670,330
97,0,2670,0,2670,330
98,0,2668,2,2670,330
99,0,2669,1,2670,330
100,0,2664,6,2670,330
