beta,seed,infection_period,peak,peak_time,final_inf,final_rec,deaths,death_fraction
0.02,42,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.02,43,14,0.0006666666666666666,5,0.0,0.0006666666666666666,0,0.0
0.02,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.04,42,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.04,43,14,0.0006666666666666666,5,0.0,0.0006666666666666666,0,0.0
0.04,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.06,42,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.06,43,14,0.0006666666666666666,5,0.0,0.0006666666666666666,0,0.0
0.06,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.08,42,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.08,43,14,0.0013333333333333333,11,0.0,0.0016666666666666668,0,0.0
0.08,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.1,42,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.1,43,14,0.002,12,0.0,0.0026666666666666666,0,0.0
0.1,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.12,42,14,0.002,9,0.0,0.002,0,0.0
0.12,43,14,0.002,12,0.0,0.0026666666666666666,0,0.0
0.12,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.14,42,14,0.0023333333333333335,10,0.0,0.0023333333333333335,0,0.0
0.14,43,14,0.0066711140760507,62,0.0,0.020353687020353686,3,0.001
0.14,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.16,42,14,0.08497825359652057,99,0.08302644794107801,0.20287914295279544,13,0.004333333333333333
0.16,43,14,0.05679919812896759,99,0.055128633478115606,0.1232876712328767,7,0.0023333333333333335
0.16,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.18,42,14,0.9901461094121644,87,0.9885654885654885,0.011434511434511435,114,0.038
0.18,43,14,0.002,11,0.0,0.002,0,0.0
0.18,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.2,42,14,0.9952846076119906,76,0.9599023709902371,0.0400976290097629,132,0.044
0.2,43,14,0.001,5,0.0,0.001,0,0.0
0.2,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
