beta,peak,final_inf,final_rec,deaths,death_fraction
0.02,0.0004444444444444444,0.0,0.0004444444444444444,0.0,0.0
0.04,0.0004444444444444444,0.0,0.0004444444444444444,0.0,0.0
0.06,0.0004444444444444444,0.0,0.0004444444444444444,0.0,0.0
0.08,0.0006666666666666666,0.0,0.0007777777777777778,0.0,0.0
0.1,0.000888888888888889,0.0,0.0011111111111111111,0.0,0.0
0.12,0.0014444444444444444,0.0,0.0016666666666666663,0.0,0.0
0.14,0.003112593580905789,0.0,0.007673451229006784,1.0,0.0003333333333333333
0.16,0.04737026168627383,0.04605169380639787,0.10883338250633517,6.666666666666667,0.0022222222222222222
0.18,0.3308264809151659,0.3295218295218295,0.004589281589281589,38.0,0.012666666666666666
0.2,0.33220598031510795,0.3199674569967457,0.013810320781032078,44.0,0.014666666666666666
