intensity,seed,peak_without,time_without,peak_with,time_with,peak_reduction,time_delay
0.0,42,0.33311103701233746,14,0.33311103701233746,14,0.0,0
0.0,43,0.3333333333333333,14,0.3333333333333333,14,0.0,0
0.0,44,0.3333333333333333,17,0.3333333333333333,17,0.0,0
0.1,42,1.0,16,1.0,17,0.0,1
0.1,43,1.0,15,1.0,17,0.0,2
0.1,44,1.0,35,1.0,33,0.0,-2
0.2,42,1.0,16,1.0,17,0.0,1
0.2,43,1.0,15,1.0,15,0.0,0
0.2,44,1.0,17,1.0,17,0.0,0
0.3,42,1.0,15,1.0,15,0.0,0
0.3,43,1.0,17,1.0,17,0.0,0
0.3,44,1.0,19,1.0,19,0.0,0
0.4,42,1.0,18,1.0,19,0.0,1
0.4,43,1.0,18,1.0,18,0.0,0
0.4,44,1.0,21,1.0,21,0.0,0
0.5,42,1.0,20,1.0,21,0.0,1
0.5,43,1.0,21,1.0,21,0.0,0
0.5,44,1.0,19,1.0,19,0.0,0
