intensity,seed,peak,peak_time,final_inf,final_rec,deaths,death_fraction
0.0,42,0.33311103701233746,14,0.2833690221270521,0.0028551034975017845,198,0.066
0.0,43,0.3333333333333333,14,0.2897163120567376,0.0010638297872340426,180,0.06
0.0,44,0.3333333333333333,17,0.2947813822284908,0.0,164,0.05466666666666667
0.1,42,1.0,17,1.0,0.0,539,0.17966666666666667
0.1,43,1.0,17,0.9987878787878788,0.0012121212121212121,525,0.175
0.1,44,1.0,33,1.0,0.0,525,0.175
0.2,42,1.0,17,1.0,0.0,538,0.17933333333333334
0.2,43,1.0,15,0.9979658258746948,0.0020341741253051262,542,0.18066666666666667
0.2,44,1.0,17,1.0,0.0,560,0.18666666666666668
0.3,42,1.0,15,0.9979270315091211,0.0020729684908789387,588,0.196
0.3,43,1.0,17,1.0,0.0,558,0.186
0.3,44,1.0,19,1.0,0.0,566,0.18866666666666668
0.4,42,1.0,19,1.0,0.0,556,0.18533333333333332
0.4,43,1.0,18,0.999593165174939,0.0004068348250610252,542,0.18066666666666667
0.4,44,1.0,21,0.9141806293420515,0.08581937065794851,553,0.18433333333333332
0.5,42,1.0,21,1.0,0.0,565,0.18833333333333332
0.5,43,1.0,21,0.9837133550488599,0.016286644951140065,544,0.18133333333333335
0.5,44,1.0,19,1.0,0.0,529,0.17633333333333334
