time,city,susceptible,infected,recovered,total
0,1,1000,0,0,1000
0,2,1000,0,0,1000
0,3,999,1,0,1000
1,1,982,0,0,982
1,2,1009,0,0,1009
1,3,1007,2,0,1009
2,1,999,2,0,1001
2,2,957,3,0,960
2,3,1038,1,0,1039
3,1,984,4,0,988
3,2,968,1,0,969
3,3,1039,4,0,1043
4,1,944,6,0,950
4,2,994,5,0,999
4,3,1047,4,0,1051
5,1,963,11,0,974
5,2,999,7,0,1006
5,3,1007,13,0,1020
6,1,972,15,0,987
6,2,1005,19,0,1024
6,3,975,14,0,989
7,1,969,26,0,995
7,2,990,21,0,1011
7,3,970,24,0,994
8,1,950,33,0,983
8,2,929,61,0,990
8,3,991,36,0,1027
9,1,942,86,0,1028
9,2,940,59,0,999
9,3,897,76,0,973
10,1,884,102,0,986
10,2,878,120,0,998
10,3,885,131,0,1016
11,1,827,193,0,1020
11,2,843,171,0,1014
11,3,766,200,0,966
12,1,732,298,0,1030
12,2,685,276,0,961
12,3,689,320,0,1009
13,1,504,471,0,975
13,2,545,495,0,1040
13,3,514,470,1,985
14,1,210,748,2,960
14,2,233,805,1,1039
14,3,234,767,0,1001
15,1,0,1052,0,1052
15,2,0,989,0,989
15,3,0,959,0,959
16,1,0,1012,1,1013
16,2,0,963,0,963
16,3,0,1024,0,1024
17,1,0,1002,1,1003
17,2,0,1054,0,1054
17,3,0,943,0,943
18,1,0,1001,0,1001
18,2,0,1017,2,1019
18,3,0,978,1,979
19,1,0,1021,1,1022
19,2,0,986,0,986
19,3,0,990,0,990
20,1,0,1026,5,1031
20,2,0,969,0,969
20,3,0,994,3,997
21,1,0,986,5,991
21,2,0,975,10,985
21,3,0,1014,4,1018
22,1,0,1023,9,1032
22,2,0,1007,14,1021
22,3,0,927,13,940
23,1,0,965,10,975
23,2,0,1007,14,1021
23,3,0,982,14,996
24,1,0,1014,19,1033
24,2,0,999,15,1014
24,3,0,914,28,942
25,1,0,1001,28,1029
25,2,0,958,44,1002
25,3,0,903,47,950
26,1,0,933,44,977
26,2,0,922,67,989
26,3,0,934,66,1000
27,1,0,958,60,1018
27,2,0,903,77,980
27,3,0,865,92,957
28,1,0,1015,0,1015
28,2,0,971,0,971
28,3,0,966,0,966
29,1,0,978,1,979
29,2,0,979,0,979
29,3,0,994,0,994
30,1,0,990,0,990
30,2,0,986,1,987
30,3,0,975,0,975
31,1,0,967,0,967
31,2,0,990,1,991
31,3,0,994,0,994
32,1,0,1007,0,1007
32,2,0,932,1,933
32,3,0,1012,0,1012
33,1,0,972,2,974
33,2,0,997,3,1000
33,3,0,976,2,978
34,1,0,1022,6,1028
34,2,0,953,7,960
34,3,0,954,8,962
35,1,0,939,10,949
35,2,0,1005,10,1015
35,3,0,976,10,986
36,1,0,962,13,975
36,2,0,1033,8,1041
36,3,0,925,8,933
37,1,0,987,23,1010
37,2,0,945,23,968
37,3,0,946,21,967
38,1,0,938,48,986
38,2,0,920,19,939
38,3,0,993,22,1015
39,1,0,935,68,1003
39,2,0,908,50,958
39,3,0,927,44,971
40,1,0,892,59,951
40,2,0,880,63,943
40,3,0,909,107,1016
41,1,0,933,0,933
41,2,0,953,0,953
41,3,0,1018,0,1018
42,1,0,941,1,942
42,2,0,992,0,992
42,3,0,970,0,970
43,1,0,961,1,962
43,2,0,947,0,947
43,3,0,995,0,995
44,1,0,937,0,937
44,2,0,1002,2,1004
44,3,0,962,1,963
45,1,0,972,0,972
45,2,0,932,0,932
45,3,0,1000,0,1000
46,1,0,926,2,928
46,2,0,1005,2,1007
46,3,0,967,0,967
47,1,0,942,3,945
47,2,0,946,6,952
47,3,0,996,8,1004
48,1,0,945,10,955
48,2,0,962,6,968
48,3,0,971,5,976
49,1,0,916,14,930
49,2,0,976,14,990
49,3,0,959,11,970
50,1,0,920,14,934
50,2,0,940,22,962
50,3,0,975,15,990
51,1,0,934,23,957
51,2,0,957,19,976
51,3,0,926,18,944
52,1,0,864,32,896
52,2,0,909,73,982
52,3,0,913,68,981
53,1,0,956,35,991
53,2,0,799,108,907
53,3,0,853,89,942
54,1,0,967,0,967
54,2,0,939,0,939
54,3,0,931,0,931
55,1,0,958,0,958
55,2,0,944,0,944
55,3,0,934,1,935
56,1,0,929,1,930
56,2,0,938,0,938
56,3,0,969,0,969
57,1,0,925,1,926
57,2,0,968,2,970
57,3,0,941,0,941
58,1,0,975,0,975
58,2,0,905,0,905
58,3,0,957,0,957
59,1,0,968,1,969
59,2,0,897,3,900
59,3,0,963,2,965
60,1,0,937,4,941
60,2,0,945,3,948
60,3,0,936,7,943
61,1,0,921,5,926
61,2,0,932,8,940
61,3,0,954,11,965
62,1,0,906,8,914
62,2,0,959,9,968
62,3,0,934,10,944
63,1,0,886,23,909
63,2,0,943,16,959
63,3,0,939,17,956
64,1,0,963,16,979
64,2,0,859,30,889
64,3,0,932,19,951
65,1,0,908,31,939
65,2,0,895,43,938
65,3,0,877,53,930
66,1,0,894,35,929
66,2,0,876,70,946
66,3,0,806,105,911
67,1,0,911,0,911
67,2,0,945,0,945
67,3,0,927,0,927
68,1,0,973,1,974
68,2,0,885,0,885
68,3,0,924,0,924
69,1,0,941,0,941
69,2,0,904,0,904
69,3,0,937,1,938
70,1,0,910,1,911
70,2,0,953,1,954
70,3,0,918,0,918
71,1,0,940,0,940
71,2,0,942,0,942
71,3,0,900,0,900
72,1,0,946,0,946
72,2,0,908,4,912
72,3,0,920,4,924
73,1,0,904,5,909
73,2,0,890,8,898
73,3,0,969,4,973
74,1,0,918,8,926
74,2,0,917,12,929
74,3,0,914,8,922
75,1,0,908,12,920
75,2,0,904,9,913
75,3,0,929,12,941
76,1,0,886,27,913
76,2,0,919,20,939
76,3,0,895,20,915
77,1,0,863,31,894
77,2,0,915,31,946
77,3,0,894,28,922
78,1,0,885,55,940
78,2,0,872,42,914
78,3,0,826,68,894
79,1,0,825,71,896
79,2,0,814,59,873
79,3,0,860,101,961
80,1,0,926,0,926
80,2,0,928,0,928
80,3,0,870,0,870
81,1,0,887,0,887
81,2,0,925,1,926
81,3,0,911,0,911
82,1,0,899,0,899
82,2,0,903,1,904
82,3,0,921,0,921
83,1,0,897,0,897
83,2,0,920,0,920
83,3,0,907,0,907
84,1,0,917,0,917
84,2,0,890,0,890
84,3,0,917,0,917
85,1,0,893,3,896
85,2,0,871,4,875
85,3,0,952,1,953
86,1,0,901,3,904
86,2,0,918,7,925
86,3,0,887,6,893
87,1,0,863,6,869
87,2,0,896,9,905
87,3,0,938,7,945
88,1,0,867,7,874
88,2,0,915,11,926
88,3,0,903,12,915
89,1,0,928,22,950
89,2,0,849,16,865
89,3,0,875,16,891
90,1,0,872,45,917
90,2,0,862,46,908
90,3,0,864,11,875
91,1,0,818,43,861
91,2,0,841,65,906
91,3,0,884,41,925
92,1,0,831,59,890
92,2,0,828,83,911
92,3,0,800,73,873
93,1,0,892,0,892
93,2,0,896,0,896
93,3,0,882,0,882
94,1,0,880,0,880
94,2,0,878,1,879
94,3,0,911,0,911
95,1,0,868,0,868
95,2,0,905,0,905
95,3,0,895,1,896
96,1,0,872,2,874
96,2,0,883,0,883
96,3,0,911,1,912
97,1,0,895,0,895
97,2,0,840,0,840
97,3,0,934,0,934
98,1,0,893,0,893
98,2,0,894,4,898
98,3,0,875,3,878
99,1,0,937,3,940
99,2,0,895,7,902
99,3,0,819,7,826
100,1,0,908,5,913
100,2,0,903,8,911
100,3,0,829,12,841
