time,city,susceptible,infected,recovered,total
0,1,1000,0,0,1000
0,2,1000,0,0,1000
0,3,999,1,0,1000
1,1,982,0,0,982
1,2,1009,0,0,1009
1,3,1007,2,0,1009
2,1,999,2,0,1001
2,2,957,3,0,960
2,3,1038,1,0,1039
3,1,984,4,0,988
3,2,968,1,0,969
3,3,1039,4,0,1043
4,1,944,6,0,950
4,2,994,5,0,999
4,3,1047,4,0,1051
5,1,963,11,0,974
5,2,999,7,0,1006
5,3,1007,13,0,1020
6,1,972,15,0,987
6,2,1005,19,0,1024
6,3,975,14,0,989
7,1,969,26,0,995
7,2,990,21,0,1011
7,3,970,24,0,994
8,1,950,33,0,983
8,2,929,61,0,990
8,3,991,36,0,1027
9,1,934,78,0,1012
9,2,940,66,0,1006
9,3,907,74,0,981
10,1,933,111,1,1045
10,2,882,135,0,1017
10,3,822,114,1,937
11,1,827,184,2,1013
11,2,783,200,2,985
11,3,800,200,1,1001
12,1,679,294,3,976
12,2,682,313,4,999
12,3,670,348,5,1023
13,1,436,562,10,1008
13,2,459,507,3,969
13,3,496,520,5,1021
14,1,189,832,7,1028
14,2,128,865,13,1006
14,3,164,786,14,964
15,1,0,960,0,960
15,2,0,1004,0,1004
15,3,0,1034,0,1034
16,1,0,968,3,971
16,2,0,1031,0,1031
16,3,0,995,1,996
17,1,0,970,0,970
17,2,0,1012,2,1014
17,3,0,1012,1,1013
18,1,0,999,5,1004
18,2,0,955,0,955
18,3,0,1036,1,1037
19,1,0,990,5,995
19,2,0,1019,1,1020
19,3,0,979,0,979
20,1,0,977,8,985
20,2,0,1003,7,1010
20,3,0,985,9,994
21,1,0,969,20,989
21,2,0,958,37,995
21,3,0,959,32,991
22,1,0,917,51,968
22,2,0,928,58,986
22,3,0,974,37,1011
23,1,0,917,46,963
23,2,0,953,25,978
23,3,0,996,8,1004
24,1,0,978,0,978
24,2,0,979,0,979
24,3,0,987,0,987
25,1,0,973,4,977
25,2,0,960,0,960
25,3,0,1006,0,1006
26,1,0,989,2,991
26,2,0,900,0,900
26,3,0,1048,3,1051
27,1,0,1006,1,1007
27,2,0,911,2,913
27,3,0,1019,2,1021
28,1,0,998,6,1004
28,2,0,946,2,948
28,3,0,984,2,986
29,1,0,983,10,993
29,2,0,1010,7,1017
29,3,0,904,14,918
30,1,0,929,36,965
30,2,0,946,54,1000
30,3,0,908,44,952
31,1,0,931,51,982
31,2,0,865,70,935
31,3,0,913,71,984
32,1,0,939,36,975
32,2,0,841,84,925
32,3,0,959,23,982
33,1,0,940,0,940
33,2,0,1013,0,1013
33,3,0,928,0,928
34,1,0,928,5,933
34,2,0,968,0,968
34,3,0,979,0,979
35,1,0,944,3,947
35,2,0,962,0,962
35,3,0,968,0,968
36,1,0,955,1,956
36,2,0,956,0,956
36,3,0,960,3,963
37,1,0,973,3,976
37,2,0,963,3,966
37,3,0,928,3,931
38,1,0,920,4,924
38,2,0,937,13,950
38,3,0,984,6,990
39,1,0,924,38,962
39,2,0,913,25,938
39,3,0,928,23,951
40,1,0,847,93,940
40,2,0,871,48,919
40,3,0,912,63,975
41,1,0,880,64,944
41,2,0,870,70,940
41,3,0,879,56,935
42,1,0,912,0,912
42,2,0,967,0,967
42,3,0,935,0,935
43,1,0,950,1,951
43,2,0,885,1,886
43,3,0,975,0,975
44,1,0,928,0,928
44,2,0,954,0,954
44,3,0,927,2,929
45,1,0,942,1,943
45,2,0,901,1,902
45,3,0,961,3,964
46,1,0,945,3,948
46,2,0,912,4,916
46,3,0,938,5,943
47,1,0,959,7,966
47,2,0,905,8,913
47,3,0,912,12,924
48,1,0,879,24,903
48,2,0,928,39,967
48,3,0,906,20,926
49,1,0,842,48,890
49,2,0,882,74,956
49,3,0,894,42,936
50,1,0,876,46,922
50,2,0,924,32,956
50,3,0,844,38,882
51,1,0,875,0,875
51,2,0,946,0,946
51,3,0,936,0,936
52,1,0,916,0,916
52,2,0,946,0,946
52,3,0,892,2,894
53,1,0,920,1,921
53,2,0,964,0,964
53,3,0,866,1,867
54,1,0,918,1,919
54,2,0,926,3,929
54,3,0,898,3,901
55,1,0,924,3,927
55,2,0,922,3,925
55,3,0,894,1,895
56,1,0,949,5,954
56,2,0,914,8,922
56,3,0,860,9,869
57,1,0,882,25,907
57,2,0,886,26,912
57,3,0,896,23,919
58,1,0,861,67,928
58,2,0,864,42,906
58,3,0,854,36,890
59,1,0,773,50,823
59,2,0,882,49,931
59,3,0,937,14,951
60,1,0,901,0,901
60,2,0,932,0,932
60,3,0,871,0,871
61,1,0,911,1,912
61,2,0,879,1,880
61,3,0,910,1,911
62,1,0,875,1,876
62,2,0,909,0,909
62,3,0,917,0,917
63,1,0,907,0,907
63,2,0,906,0,906
63,3,0,884,2,886
64,1,0,899,4,903
64,2,0,864,1,865
64,3,0,923,6,929
65,1,0,906,8,914
65,2,0,857,7,864
65,3,0,902,12,914
66,1,0,878,21,899
66,2,0,825,33,858
66,3,0,905,23,928
67,1,0,853,59,912
67,2,0,843,53,896
67,3,0,823,42,865
68,1,0,801,64,865
68,2,0,825,65,890
68,3,0,885,15,900
69,1,0,901,0,901
69,2,0,860,0,860
69,3,0,892,0,892
70,1,0,873,1,874
70,2,0,880,0,880
70,3,0,897,2,899
71,1,0,865,0,865
71,2,0,865,1,866
71,3,0,922,0,922
72,1,0,878,3,881
72,2,0,876,2,878
72,3,0,889,3,892
73,1,0,859,8,867
73,2,0,868,3,871
73,3,0,911,1,912
74,1,0,886,10,896
74,2,0,844,4,848
74,3,0,896,6,902
75,1,0,850,23,873
75,2,0,837,37,874
75,3,0,864,23,887
76,1,0,810,38,848
76,2,0,847,34,881
76,3,0,832,59,891
77,1,0,843,25,868
77,2,0,805,33,838
77,3,0,793,109,902
78,1,0,841,0,841
78,2,0,858,0,858
78,3,0,906,0,906
79,1,0,879,1,880
79,2,0,871,1,872
79,3,0,850,1,851
80,1,0,833,0,833
80,2,0,873,1,874
80,3,0,895,0,895
81,1,0,830,2,832
81,2,0,874,1,875
81,3,0,892,0,892
82,1,0,863,2,865
82,2,0,837,2,839
82,3,0,889,3,892
83,1,0,859,13,872
83,2,0,878,3,881
83,3,0,836,2,838
84,1,0,799,32,831
84,2,0,859,38,897
84,3,0,835,21,856
85,1,0,780,52,832
85,2,0,813,68,881
85,3,0,821,40,861
86,1,0,781,52,833
86,2,0,816,66,882
86,3,0,765,80,845
87,1,0,885,0,885
87,2,0,825,0,825
87,3,0,847,0,847
88,1,0,795,2,797
88,2,0,871,1,872
88,3,0,888,0,888
89,1,0,865,0,865
89,2,0,854,1,855
89,3,0,835,1,836
90,1,0,859,3,862
90,2,0,813,1,814
90,3,0,878,1,879
91,1,0,834,5,839
91,2,0,834,3,837
91,3,0,874,4,878
92,1,0,840,4,844
92,2,0,895,6,901
92,3,0,802,6,808
93,1,0,868,18,886
93,2,0,777,37,814
93,3,0,820,26,846
94,1,0,813,37,850
94,2,0,792,35,827
94,3,0,821,35,856
95,1,0,796,27,823
95,2,0,822,22,844
95,3,0,793,55,848
96,1,0,786,0,786
96,2,0,856,0,856
96,3,0,869,0,869
97,1,0,833,1,834
97,2,0,858,2,860
97,3,0,817,0,817
98,1,0,821,0,821
98,2,0,830,0,830
98,3,0,859,0,859
99,1,0,831,2,833
99,2,0,817,1,818
99,3,0,856,1,857
100,1,0,842,4,846
100,2,0,829,2,831
100,3,0,820,7,827
