time,susceptible,infected,recovered,total,deaths
0,2999,1,0,3000,0
1,2998,2,0,3000,0
2,2994,6,0,3000,0
3,2991,9,0,3000,0
4,2985,15,0,3000,0
5,2969,31,0,3000,0
6,2952,48,0,3000,0
7,2929,71,0,3000,0
8,2870,130,0,3000,0
9,2779,221,0,3000,0
10,2647,353,0,3000,0
11,2436,564,0,3000,0
12,2106,894,0,3000,0
13,1563,1436,1,3000,0
14,677,2320,3,3000,0
15,0,3000,0,3000,0
16,0,2999,1,3000,0
17,0,2999,1,3000,0
18,0,2996,3,2999,1
19,0,2997,1,2998,2
20,0,2989,8,2997,3
21,0,2975,19,2994,6
22,0,2957,36,2993,7
23,0,2954,38,2992,8
24,0,2927,62,2989,11
25,0,2862,119,2981,19
26,0,2789,177,2966,34
27,0,2726,229,2955,45
28,0,2952,0,2952,48
29,0,2951,1,2952,48
30,0,2951,1,2952,48
31,0,2951,1,2952,48
32,0,2951,1,2952,48
33,0,2945,7,2952,48
34,0,2929,21,2950,50
35,0,2920,30,2950,50
36,0,2920,29,2949,51
37,0,2878,67,2945,55
38,0,2851,89,2940,60
39,0,2770,162,2932,68
40,0,2681,229,2910,90
41,0,2904,0,2904,96
42,0,2903,1,2904,96
43,0,2903,1,2904,96
44,0,2901,3,2904,96
45,0,2904,0,2904,96
46,0,2898,4,2902,98
47,0,2884,17,2901,99
48,0,2878,21,2899,101
49,0,2851,39,2890,110
50,0,2835,51,2886,114
51,0,2817,60,2877,123
52,0,2686,173,2859,141
53,0,2608,232,2840,160
54,0,2837,0,2837,163
55,0,2836,1,2837,163
56,0,2836,1,2837,163
57,0,2834,3,2837,163
58,0,2837,0,2837,163
59,0,2828,6,2834,166
60,0,2818,14,2832,168
61,0,2807,24,2831,169
62,0,2799,27,2826,174
63,0,2768,56,2824,176
64,0,2754,65,2819,181
65,0,2680,127,2807,193
66,0,2576,210,2786,214
67,0,2783,0,2783,217
68,0,2782,1,2783,217
69,0,2782,1,2783,217
70,0,2781,2,2783,217
71,0,2782,0,2782,218
72,0,2774,8,2782,218
73,0,2763,17,2780,220
74,0,2749,28,2777,223
75,0,2741,33,2774,226
76,0,2700,67,2767,233
77,0,2672,90,2762,238
78,0,2583,165,2748,252
79,0,2499,231,2730,270
80,0,2724,0,2724,276
81,0,2723,1,2724,276
82,0,2723,1,2724,276
83,0,2724,0,2724,276
84,0,2724,0,2724,276
85,0,2716,8,2724,276
86,0,2706,16,2722,278
87,0,2697,22,2719,281
88,0,2685,30,2715,285
89,0,2652,54,2706,294
90,0,2598,102,2700,300
91,0,2543,149,2692,308
92,0,2459,215,2674,326
93,0,2670,0,2670,330
94,0,2669,1,2670,330
95,0,2668,1,2669,331
96,0,2666,3,2669,331
97,0,2669,0,2669,331
98,0,2662,7,2669,331
99,0,2651,17,2668,332
100,0,2640,25,2665,335
