beta,seed,infection_period,peak,peak_time,final_inf,final_rec,deaths,death_fraction
0.1,42,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.1,43,14,0.002,12,0.0,0.0026666666666666666,0,0.0
0.1,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.2,42,14,0.9952846076119906,76,0.9599023709902371,0.0400976290097629,132,0.044
0.2,43,14,0.001,5,0.0,0.001,0,0.0
0.2,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.3,42,14,1.0,57,0.9925149700598802,0.0074850299401197605,328,0.10933333333333334
0.3,43,14,0.999644128113879,78,0.9393491124260355,0.060650887573964495,296,0.09866666666666667
0.3,44,14,0.0003333333333333333,0,0.0,0.0003333333333333333,0,0.0
0.4,42,14,1.0,23,0.9190620272314675,0.08093797276853253,356,0.11866666666666667
0.4,43,14,1.0,40,0.9701046337817638,0.029895366218236172,324,0.108
0.4,44,14,0.0006666666666666666,5,0.0,0.0006666666666666666,0,0.0
0.5,42,14,1.0,15,0.9906191369606003,0.009380863039399626,335,0.11166666666666666
0.5,43,14,1.0,18,0.9996297667530544,0.00037023324694557573,299,0.09966666666666667
0.5,44,14,1.0,18,0.999627004848937,0.0003729951510630362,319,0.10633333333333334
0.6,42,14,1.0,13,0.9857357357357357,0.014264264264264264,336,0.112
0.6,43,14,1.0,17,0.9981217129977461,0.0018782870022539444,338,0.11266666666666666
0.6,44,14,1.0,16,0.9961977186311787,0.0038022813688212928,370,0.12333333333333334
0.7,42,14,1.0,11,0.9055512721665382,0.09444872783346184,406,0.13533333333333333
0.7,43,14,1.0,15,0.9973703981968445,0.002629601803155522,338,0.11266666666666666
0.7,44,14,1.0,13,0.9834586466165414,0.016541353383458645,340,0.11333333333333333
0.8,42,14,1.0,10,0.8650306748466258,0.13496932515337423,392,0.13066666666666665
0.8,43,14,1.0,14,0.9977519670288497,0.0022480329711502436,331,0.11033333333333334
0.8,44,14,1.0,12,0.9762622456669179,0.02373775433308214,346,0.11533333333333333
0.9,42,14,1.0,10,0.9526741054251635,0.04732589457483648,401,0.13366666666666666
0.9,43,14,1.0,11,0.9377609108159393,0.06223908918406072,365,0.12166666666666667
0.9,44,14,1.0,9,1.0,0.0,391,0.13033333333333333
1.0,42,14,1.0,9,1.0,0.0,393,0.131
1.0,43,14,1.0,8,1.0,0.0,403,0.13433333333333333
1.0,44,14,1.0,9,1.0,0.0,426,0.142
