philosophers,left_rate,variant,deadlock_probability,mean_stop_time,mean_events,mean_meals,mean_fairness
3,1.0,Классическая,1.0,4.190267860813042,9.9,2.3,0.44427609427609427
3,1.0,С арбитром,0.0,49.48134172428656,85.85,27.95,0.9538345455050813
3,1.5,Классическая,1.0,2.327787122092173,5.7,0.9,0.22962962962962963
3,1.5,С арбитром,0.0,49.413840764172434,88.35,28.75,0.9688277137201492
3,2.0,Классическая,1.0,1.7309920413451176,6.0,1.0,0.2744444444444444
3,2.0,С арбитром,0.0,49.07038733941399,89.65,29.1,0.9441864781701652
3,3.0,Классическая,1.0,0.6177295996541341,3.45,0.15,0.05
3,3.0,С арбитром,0.0,49.47519211439142,86.85,28.1,0.9444065047401923
4,1.0,Классическая,1.0,4.3319794563715215,11.65,2.55,0.40552521008403364
4,1.0,С арбитром,0.0,49.504536097207755,89.5,28.85,0.9451619146768311
4,1.5,Классическая,1.0,2.1461061261777115,7.45,1.15,0.24047619047619045
4,1.5,С арбитром,0.0,49.30561042556387,89.05,28.65,0.931677928264755
4,2.0,Классическая,1.0,2.3224155483879425,8.05,1.35,0.3208333333333333
4,2.0,С арбитром,0.0,49.135623520720465,92.5,29.7,0.9342643633216984
4,3.0,Классическая,1.0,1.3029927498967908,5.8,0.6,0.12250000000000001
4,3.0,С арбитром,0.0,49.35302446875816,92.4,29.75,0.9217376281486909
5,1.0,Классическая,1.0,6.695980621199924,20.0,5.0,0.5484613788358408
5,1.0,С арбитром,0.0,49.294179321040005,94.35,30.0,0.9328619246855674
5,1.5,Классическая,1.0,3.3636193858858663,11.45,2.15,0.28391068580542267
5,1.5,С арбитром,0.0,49.335384886911086,96.9,30.85,0.9280510239895454
5,2.0,Классическая,1.0,2.4053225998329317,9.8,1.6,0.2362597402597403
5,2.0,С арбитром,0.0,48.669208713594024,91.45,29.05,0.9070597490322913
5,3.0,Классическая,1.0,1.7488145658463246,7.85,0.95,0.14072727272727276
5,3.0,С арбитром,0.0,48.99167741559716,92.35,29.3,0.9142267478674257
6,1.0,Классическая,1.0,4.969244315038102,15.9,3.3,0.3325037436358191
6,1.0,С арбитром,0.0,49.07325233457664,98.0,31.0,0.8958485014452569
6,1.5,Классическая,1.0,3.244572659698963,12.15,2.05,0.25948412698412693
6,1.5,С арбитром,0.0,49.275524885152386,87.95,27.6,0.8652498947600419
6,2.0,Классическая,1.0,2.131161721536553,9.6,1.2,0.18148148148148147
6,2.0,С арбитром,0.0,49.53011252457656,97.6,30.8,0.894037751453712
6,3.0,Классическая,1.0,1.7910975421333901,10.65,1.55,0.17806267806267806
6,3.0,С арбитром,0.0,49.27018400032226,93.6,29.4,0.8947431563189305
7,1.0,Классическая,1.0,7.199403853382904,23.35,5.45,0.4320901410417539
7,1.0,С арбитром,0.0,49.33680750153627,97.75,30.5,0.9146570120494232
7,1.5,Классическая,1.0,3.8650835808737027,16.6,3.2,0.3521628651460584
7,1.5,С арбитром,0.0,49.08547276181933,95.75,29.85,0.8442176791023414
7,2.0,Классическая,1.0,3.5006767364401474,14.5,2.5,0.24695640616693249
7,2.0,С арбитром,0.0,49.46600790431073,98.5,30.8,0.8660563814438703
7,3.0,Классическая,1.0,2.231663654828414,11.2,1.4,0.16753246753246748
7,3.0,С арбитром,0.0,49.203142786439386,91.85,28.55,0.8489256011815021
8,1.0,Классическая,1.0,8.234084668421,29.9,7.3,0.49079265398344346
8,1.0,С арбитром,0.0,49.589315319570794,104.35,32.5,0.8633119065992865
8,1.5,Классическая,1.0,3.1037611134660374,14.9,2.3,0.22971230158730163
8,1.5,С арбитром,0.0,49.47194636950996,100.25,31.05,0.8352639583997366
8,2.0,Классическая,1.0,2.7633960847636994,14.9,2.3,0.25375000000000003
8,2.0,С арбитром,0.0,49.07909816741259,98.4,30.3,0.82725162919706
8,3.0,Классическая,1.0,1.992716700065272,12.65,1.55,0.18625
8,3.0,С арбитром,0.0,49.26912731049176,98.55,30.45,0.8496356190630966
