time,Think_1,Think_2,Think_3,Hungry_1,Hungry_2,Hungry_3,Eat_1,Eat_2,Eat_3,Fork_1,Fork_2,Fork_3,Arbiter
0.0,1,1,1,0,0,0,0,0,0,1,1,1,2
0.12926215543293426,1,1,0,0,0,1,0,0,0,1,1,0,1
0.17213563773257573,1,0,0,0,1,1,0,0,0,1,0,0,0
1.2783594492305472,1,0,0,0,1,0,0,0,1,0,0,0,0
1.8863071513378578,1,0,1,0,1,0,0,0,0,1,0,1,1
2.389378627612297,1,0,0,0,1,1,0,0,0,1,0,0,0
3.567813964147978,1,0,0,0,1,0,0,0,1,0,0,0,0
5.452477005632334,1,0,1,0,1,0,0,0,0,1,0,1,1
6.232213153032548,0,0,1,1,1,0,0,0,0,0,0,1,0
7.355110998790923,0,0,1,1,0,0,0,1,0,0,0,0,0
7.555952783263559,0,1,1,1,0,0,0,0,0,0,1,1,1
7.695162259684746,0,1,1,0,0,0,1,0,0,0,0,1,1
8.770603872505028,0,1,0,0,0,1,1,0,0,0,0,0,0
8.828799284220135,1,1,0,0,0,1,0,0,0,1,1,0,1
9.756761559794194,1,0,0,0,1,1,0,0,0,1,0,0,0
10.90676514892925,1,0,0,0,1,0,0,0,1,0,0,0,0
12.088381409837996,1,0,1,0,1,0,0,0,0,1,0,1,1
12.254239394516869,1,0,0,0,1,1,0,0,0,1,0,0,0
12.974736396514707,1,0,0,0,1,0,0,0,1,0,0,0,0
14.064837414291624,1,0,1,0,1,0,0,0,0,1,0,1,1
14.197055251832738,0,0,1,1,1,0,0,0,0,0,0,1,0
15.006537142776383,0,0,1,1,0,0,0,1,0,0,0,0,0
15.694990725667829,0,1,1,1,0,0,0,0,0,0,1,1,1
16.070848358939436,0,1,0,1,0,1,0,0,0,0,1,0,0
17.379388439979575,0,1,0,0,0,1,1,0,0,0,0,0,0
17.488627877529524,1,1,0,0,0,1,0,0,0,1,1,0,1
17.847077690274595,1,0,0,0,1,1,0,0,0,1,0,0,0
19.004217984884853,1,0,0,0,1,0,0,0,1,0,0,0,0
19.52685338611579,1,0,1,0,1,0,0,0,0,1,0,1,1
19.725386330256352,0,0,1,1,1,0,0,0,0,0,0,1,0
21.75695601918744,0,0,1,1,0,0,0,1,0,0,0,0,0
24.816379255478218,0,1,1,1,0,0,0,0,0,0,1,1,1
24.994189702163755,0,1,1,0,0,0,1,0,0,0,0,1,1
25.245332637327106,1,1,1,0,0,0,0,0,0,1,1,1,2
25.351768449269972,1,1,0,0,0,1,0,0,0,1,1,0,1
27.746870295105865,1,0,0,0,1,1,0,0,0,1,0,0,0
27.88438790406835,1,0,0,0,1,0,0,0,1,0,0,0,0
