time,S,I,R
0.0,990.0,10.0,0.0
0.2,-3.443386743962077e-11,980.7631783936699,19.236821606364753
0.4,-1.658826096639212e-11,961.3427662895743,38.65723371044215
0.6,3.240986183701754e-11,942.3069041100383,57.693095889929296
0.8,-2.0007216081861315e-11,923.6479772565075,76.35202274351282
1.0,-3.502662374974724e-11,905.3585219093125,94.6414780907231
1.2,-1.446967539078206e-11,887.4312220424534,112.56877795756178
1.4,-3.166192944077013e-11,869.8589064970226,130.1410935030095
1.6,-2.2811162377515162e-11,852.6345461124383,147.36545388758486
1.8,1.6258408933112637e-11,835.7512509148805,164.24874908510324
2.0,4.15294696004423e-11,819.2022673612014,180.7977326387571
2.2,4.181402536481745e-11,802.9809756373345,197.01902436262392
2.4,1.0705762367107616e-11,787.0808870103098,212.91911298967977
2.6,-2.7577119267494546e-12,771.4956412326231,228.50435876737993
2.8,-3.503836067189523e-11,756.2190039981941,243.78099600184126
3.0,-1.8513792772468965e-12,741.2448644483527,258.755135551649
3.2,1.1753029183534046e-12,726.5672327277179,273.4327672722807
3.4,4.5686894891378206e-11,712.1802375878254,287.8197624121291
3.6,5.4183547279153005e-12,698.0781240389156,301.92187596107914
3.8,-3.1344919438891033e-12,684.255251047422,315.7447489525812
4.0,-2.5382893187959937e-11,670.7060892798856,329.2939107201392
4.2,4.44808961912042e-11,657.4252188908366,342.57478110911825
4.4,-2.769787906644824e-11,644.4073273552727,355.5926726447546
4.6,-3.205276155260955e-12,631.6472073427666,368.35279265723636
4.8,-1.0509075738942536e-11,619.1397546353044,380.86024536470615
5.0,-1.203557665769696e-12,606.8799660849861,393.120033915015
5.2,-2.561793672837674e-11,594.8629376129767,405.13706238704896
5.4,-4.1204900002542264e-11,583.0838622476148,416.91613775242655
5.6,2.587682504877547e-11,571.538028201625,428.4619717983495
5.8,-2.189646699772665e-11,560.2208169876391,439.7791830123832
6.0,4.720455909809792e-11,549.1277015700415,450.87229842991155
6.2,4.314013468854729e-12,538.2542445549843,461.74575544501135
6.4,3.906078446925464e-11,527.5960964144906,472.4039035854704
6.6,3.913759384597178e-11,517.1489937473058,482.8510062526552
6.8,-9.483043162635991e-12,506.9087575730804,493.0912424269291
7.0,1.9016840593121006e-11,496.87129166068104,503.12870833930003
7.2,-3.295958858036912e-11,487.03258089006516,512.9674191099679
7.4,-3.338356963686943e-11,477.38868964560777,522.6113103544254
7.6,1.9019728378635444e-11,467.9357602422233,532.0642397577574
7.8,-1.6612786685631573e-11,458.67001138225044,541.3299886177657
8.0,4.8180543658202514e-11,449.5877366424118,550.4122633575396
8.2,-2.1424749117167336e-11,440.68530299194765,559.3146970080733
8.4,2.7013967181370136e-12,431.95914933846876,568.0408506615282
8.6,-6.074303589135455e-12,423.4057851042904,576.5942148957153
8.8,2.65620807421377e-11,415.0217888295979,584.9782111703753
9.0,-3.3711047701412314e-11,406.80380680422803,593.1961931958054
9.2,4.719777279875521e-11,398.74855172556187,601.2514482743906
9.4,4.775396165479742e-11,390.8528013843841,609.1471986155674
9.6,-2.81245023998505e-11,383.11339737527703,616.8866026247505
9.8,4.315993525104692e-11,375.5272438332194,624.4727561667369
10.0,3.603451404142585e-11,368.0913061958705,631.908693804093
10.2,-4.07119668079896e-11,360.80260998901895,639.1973900110213
10.4,1.6393068873634903e-11,353.65823963679463,646.3417603631884
10.6,8.921648962365234e-12,346.6553372959957,653.3446627039946
10.8,-3.9509987542451966e-11,339.79110171228905,660.2088982877498
11.0,9.41601248514548e-12,333.06278709977835,666.9372129002115
11.2,2.0610799073858662e-11,326.46770204304175,673.5322979569368
11.4,-3.6452847955034724e-11,320.00320842015117,679.996791579884
11.6,4.699208177837587e-11,313.66672034725457,686.3332796526972
11.8,1.0551273472804221e-11,307.4557031448954,692.5442968550926
12.0,3.916629535523547e-11,301.36767232319323,698.6323276767664
12.2,-1.6460551793858616e-11,295.4001925887938,704.5998074112214
12.4,4.6729591080489216e-11,289.55087687003277,710.4491231299193
12.6,3.318000221997099e-11,283.8173853628265,716.182614637139
12.8,4.0919966318387174e-11,278.19742459402624,721.8025754059314
13.0,-4.094480545437175e-11,272.6887465045017,727.3112534955378
13.2,1.2688570882923368e-11,267.2891475493418,732.7108524506441
13.4,3.065302334089513e-11,261.99646781714017,738.0035321828277
13.6,-1.2715196547475899e-11,256.80859016545963,743.1914098345517
13.8,-1.7477466490377642e-11,251.72343937396684,748.2765606260494
14.0,-2.063006701573905e-11,246.73898131457932,753.2610186854403
14.2,1.542539367793744e-11,241.85322213757522,758.1467778624083
14.4,-5.304821293460041e-12,237.0642074742356,762.9357925257685
14.6,-3.8849634015899635e-11,232.37002165479686,767.6299783452407
14.8,4.22173436825236e-11,227.7687869422135,772.231213057743
15.0,3.5100901556780207e-12,223.2586627814845,776.7413372185107
15.2,-1.7158027888859177e-11,218.83784506267207,781.1621549373439
15.4,1.3196890430445425e-11,214.50456539971037,785.4954346002753
15.6,2.97264948629487e-11,210.25709042302148,789.7429095769477
15.8,-2.9646361802538e-11,206.0937210860429,793.9062789139856
16.0,-2.0250003856014913e-11,202.01279198538296,797.987208014636
16.2,1.0232091167037507e-11,198.01267069503584,801.9873293049527
16.4,-5.149936464103928e-12,194.09175711321674,805.9082428867874
16.6,-4.0465749174480695e-11,190.24848282218736,809.7515171778522
16.8,3.6238504942969973e-11,186.4813104608551,813.5186895391078
17.0,-4.021374517251013e-11,182.7887331103112,817.2112668897281
17.2,2.5961002418944987e-12,179.16927369010764,820.8307263098889
17.4,2.6024592114732506e-11,175.62148436835494,824.3785156316183
17.6,8.00744607134246e-12,172.14394598204203,827.8560540179492
17.8,-3.743575797881169e-11,168.73526746943264,831.2647325306039
18.0,1.4675108411588198e-11,165.394085313547,834.6059146864374
18.2,-2.5211694884031368e-11,162.11906299716279,837.8809370028615
18.4,4.539162524713135e-11,158.9088904674831,841.0911095324706
18.6,2.4128501251663455e-11,155.76228361289589,844.2377163870791
18.8,1.5525660093926232e-11,152.6779837485992,847.3220162513844
19.0,4.0272803030681754e-11,149.6547571135022,850.3452428864565
19.2,1.8262355649644275e-11,146.6913943767209,853.3086056232597
19.4,-3.8630573162742164e-11,143.78671015363642,856.213289846401
19.6,4.2307972900695404e-11,140.93954253165705,859.0604574682993
19.8,-1.739931334544238e-11,138.14875260605018,861.8512473939659
20.0,-3.83238048576331e-11,135.41322402345483,864.5867759765822
20.2,-2.3145098977809316e-11,132.73186253596646,867.2681374640554
20.4,-2.4506645739076158e-11,130.1035955632908,869.8964044367323
20.6,-3.9182974552073716e-11,127.52737176359146,872.4726282364463
20.8,-1.1772261258302338e-11,125.00216061294311,874.9978393870673
21.0,3.942829437042169e-11,122.52695199323378,877.4730480067255
21.2,-3.8615455703212106e-11,120.10075578816559,879.8992442118717
21.4,3.0478521855120544e-11,117.72260148663013,882.2773985133381
21.6,1.0562639870500417e-11,115.39153779543399,884.6084622045543
21.8,-3.392315593070949e-11,113.10663225795501,886.8933677420777
22.0,-3.925235973715084e-11,110.8669708814486,889.1330291185894
22.2,-3.908532625790302e-11,108.67165777153515,891.3283422285026
