time,S,I,R
0.0,990.0,10.0,0.0
0.5,3.8513245130249886e-11,905.8801013542641,94.1198986456971
1.0,-3.499686154184143e-11,819.674211959616,180.32578804041916
1.5,-2.807990568369756e-11,741.6718975801956,258.32810241983316
2.0,2.331423975068424e-11,671.0924848362465,328.907515163731
2.5,-2.0647952605046967e-11,607.2295912426072,392.770408757414
3.0,-3.726995637251192e-11,549.4440554950106,450.5559445050272
3.5,1.1270985927140283e-11,497.157540529267,502.84245947072253
4.0,2.4883408262564043e-11,449.8467453295951,550.1532546703808
4.5,4.4569821621319024e-11,407.0381675558887,592.9618324440673
5.0,2.9615833750686945e-11,368.30336457336944,631.6966354266015
5.5,3.7796792216428755e-11,333.25466545451326,666.7453345454495
6.0,-1.9568053858932758e-12,301.54129103833566,698.4587089616672
6.5,4.407631724550232e-11,272.8458432143114,727.1541567856452
7.0,-3.6985339477214445e-11,246.88112829595855,753.1188717040792
7.5,-2.442067317614462e-11,223.3872826891107,776.6127173109145
8.0,-3.506464641814189e-11,202.12917209049695,797.8708279095389
8.5,-3.8827500170163105e-11,182.89403818411856,817.1059618159211
9.0,-2.3120470945961167e-11,165.489369284676,834.510630715348
9.5,-1.2364615473197526e-11,149.740973615937,850.2590263840762
10.0,-3.71913481840801e-11,135.4912359408611,864.5087640591768
10.5,3.898920576027437e-12,122.5975400951921,877.4024599048048
11.0,-3.671045507655225e-11,110.93084163733388,889.0691583627035
11.5,-3.52189437369466e-11,100.37437632768298,899.625623672353
12.0,-3.2450007855348955e-11,90.82249151331042,909.1775084867228
12.5,-7.017404892853827e-12,82.17958872047399,917.8204112795337
13.0,1.4032792140128669e-11,74.35916687307055,925.6408331269159
13.5,6.695367129858377e-13,67.2829565607449,932.7170434392551
14.0,-3.271552969616521e-11,60.880136692281766,939.1198633077516
14.5,2.4109371816579236e-11,55.0866256942692,944.9133743057074
15.0,2.8969258915466688e-11,49.84444016150952,950.1555598384622
15.5,-3.0351104924219227e-11,45.10111453923053,954.8988854608006
16.0,-2.1620477270638306e-11,40.809176030203396,959.1908239698189
16.5,5.4152843995842844e-12,36.92566947134954,963.0743305286458
17.0,4.818040490734831e-12,33.411727423709394,966.5882725762865
17.5,-2.217164100028592e-11,30.23218117412172,969.7678188259011
18.0,-1.2280663810277322e-11,27.355208755240252,972.6447912447728
18.5,-1.5882723096550656e-11,24.752016459890356,975.2479835401263
19.0,-1.0558266124251188e-11,22.39655066452809,977.6034493354832
19.5,-1.3839788730699215e-12,20.265237076472605,979.7347629235295
20.0,1.8012802467102323e-11,18.336744792210666,981.6632552077721
20.5,1.3108742922815084e-11,16.591772812989795,983.4082271869978
21.0,4.103189832901585e-12,15.01285687289025,984.9871431271064
21.5,-3.434582798985801e-14,13.584194650020708,986.4158053499801
22.0,1.0574115827039187e-14,12.291487612449023,987.7085123875518
22.5,8.414686965663246e-15,11.121797915137178,988.8782020848636
23.0,5.114394328187504e-16,10.063418910226794,989.936581089774
23.5,1.5312814194165105e-17,9.105757983310117,990.8942420166907
24.0,7.226146047317232e-19,8.239230542154607,991.7607694578462
24.5,3.871187240247063e-20,7.455164090824985,992.5448359091758
25.0,2.3831976687223916e-21,6.745711427361548,993.2542885726393
25.5,1.8674499968695394e-22,6.103772110342231,993.8962278896586
26.0,1.8671448337601987e-23,5.522921396422008,994.4770786035789
26.5,2.298850472185235e-24,4.997345936852007,995.0026540631488
27.0,3.4333330247884226e-25,4.5217855944848,995.4782144055162
27.5,6.150258599567477e-26,4.091480801857298,995.9085191981436
28.0,1.297116074955818e-26,3.702124925047655,996.2978750749533
28.5,3.169797827840706e-27,3.349821158532929,996.6501788414679
29.0,8.856992315466618e-28,3.0310435276847008,996.9689564723161
29.5,2.794260798977287e-28,2.742601599619095,997.2573984003816
30.0,9.837746369760131e-29,2.4816085502989367,997.5183914497017
30.5,3.8251553973270177e-29,2.245452273095453,997.7545477269052
31.0,1.6272237400212902e-29,2.031769237021514,997.9682307629791
31.5,7.508817182749546e-30,1.8384208306656364,998.161579169335
32.0,3.729533873172889e-30,1.6634719576555175,998.3365280423451
32.5,1.9799678735598622e-30,1.5051716710060166,998.4948283289946
33.0,1.1164331669252044e-30,1.361935648646151,998.6380643513545
33.5,6.6479159845412045e-31,1.2323303358657713,998.7676696641348
34.0,4.158754557057399e-31,1.1150585991533861,998.8849414008472
34.5,2.720371977646529e-31,1.0089467439045678,998.9910532560959
35.0,1.8528278148618483e-31,0.9129327667285433,999.087067233272
35.5,1.308922922921876e-31,0.826055727397926,999.1739442726026
36.0,9.557740576583566e-32,0.7474461315781558,999.2525538684224
36.5,7.191040399990199e-32,0.6763172278607237,999.3236827721399
37.0,5.558873090060731e-32,0.6119571341642549,999.3880428658363
37.5,4.403738000486246e-32,0.5537217132562524,999.4462782867444
38.0,3.5668377509179374e-32,0.5010281253670592,999.4989718746335
38.5,2.947516248383972e-32,0.4533489952665692,999.5466510047339
39.0,2.480339454473573e-32,0.41020713437974793,999.5897928656208
39.5,2.1217685513679743e-32,0.37117076434876334,999.6288292356518
40.0,1.8422058284834514e-32,0.3358491960191031,999.6641508039813
40.5,1.6211286003474572e-32,0.3038889194159978,999.6961110805844
41.0,1.4440434939769783e-32,0.2749700652083247,999.725029934792
41.5,1.3005401890018195e-32,0.2488032038169997,999.7511967961833
42.0,1.183022603955745e-32,0.22512644857404435,999.7748735514264
42.5,1.0858664434684078e-32,0.2037028344333585,999.796297165567
43.0,1.0048504087270965e-32,0.18431794677382266,999.8156820532265
43.5,9.367657742468095e-33,0.16677777505707533,999.8332222249433
44.0,8.791444864911456e-33,0.15090677135323927,999.8490932286472
44.5,8.300671074681444e-33,0.13654609337699478,999.8634539066235
45.0,7.88025329481311e-33,0.12355201455064801,999.8764479854499
45.5,7.518223951777842e-33,0.11179448586161655,999.8882055141388
46.0,7.205000689842913e-33,0.1011558339184695,999.898844166082
46.5,6.932845425755804e-33,0.09152958360009318,999.9084704164004
47.0,6.695459151147703e-33,0.0828193920827106,999.9171806079179
47.5,6.487675690631017e-33,0.07493808491128012,999.9250619150893
48.0,6.305227950454365e-33,0.06780678324798681,999.9321932167526
48.5,6.1445680567315406e-33,0.06135411469567614,999.9386458853049
49.0,6.0027277118414934e-33,0.05551549871213505,999.9444845012886
49.5,5.877209015917097e-33,0.05023250052883783,999.9497674994718
50.0,5.765898374541758e-33,0.04545224607521138,999.9545477539253
50.5,5.666998212567347e-33,0.04112689297943624,999.9588731070212
51.0,5.578972371101939e-33,0.03721315166447872,999.9627868483361
51.5,5.5005022048314235e-33,0.033671852058019355,999.9663281479425
52.0,5.430451049039583e-33,0.030467551681979,999.9695324483185
52.5,5.3678352770028985e-33,0.02756818080321165,999.9724318191974
53.0,5.3118006113446855e-33,0.02494472152928293,999.9750552784711
53.5,5.261602612653761e-33,0.022570917422214933,999.9774290825783
54.0,5.216590525727182e-33,0.02042301065130753,999.9795769893492
54.5,5.176193842664891e-33,0.018479504225994144,999.9815204957745
55.0,5.1399110680666774e-33,0.01672094688239796,999.983279053118
55.5,5.107300279055896e-33,0.015129738403348842,999.9848702615972
56.0,5.077971158866745e-33,0.01368995343827829,999.9863100465623
56.5,5.0515782458516856e-33,0.012387182125703765,999.9876128178748
57.0,5.027815187778593e-33,0.011208385891092883,999.9887916141095
57.5,5.0064098312584725e-33,0.01014176694802298,999.9898582330526
58.0,4.987120009451092e-33,0.009176650215218811,999.9908233497854
58.5,4.969729916170998e-33,0.008303376484449588,999.9916966235162
59.0,4.954046972868888e-33,0.007513205738582019,999.992486794262
59.5,4.939899113415292e-33,0.006798229682055688,999.9932017703186
60.0,4.927132423237484e-33,0.006151292593307063,999.9938487074073
60.5,4.9156090805235366e-33,0.005565919708065247,999.9944340802925
61.0,4.905205555860291e-33,0.005036252417586138,999.994963747583
61.5,4.895811033743667e-33,0.004556989633586397,999.995443010367
62.0,4.8873260252140084e-33,0.004123334733123884,999.9958766652675
62.5,4.879661145664805e-33,0.003730947552431173,999.9962690524482
63.0,4.872736035841059e-33,0.003375900949198498,999.9966240990514
63.5,4.866478407337139e-33,0.0030546414984538835,999.9969453585022
64.0,4.8608231966464184e-33,0.0027639539284120755,999.9972360460723
64.5,4.8557118141059255e-33,0.0025009289398516673,999.9974990710608
65.0,4.85109147601086e-33,0.0022629340866398124,999.9977370659141
65.5,4.846914610033975e-33,0.002047587436836029,999.9979524125639
66.0,4.843138324707939e-33,0.0018527337274527847,999.9981472662732
66.5,4.839723935948767e-33,0.001676422797807548,999.9983235772029
67.0,4.8366365437678814e-33,0.0015168900743274625,999.9984831099264
67.5,4.833844653284048e-33,0.0013725389035080106,999.9986274610972
68.0,4.831319835123507e-33,0.001241924560351741,999.9987580754403
68.5,4.829036421588993e-33,0.0011237398103483144,999.9988762601904
69.0,4.826971233567546e-33,0.001016801823089932,999.9989831981776
69.5,4.825103335481573e-33,0.0009200403394996209,999.9990799596612
70.0,4.8234138143501315e-33,0.0008324869296663664,999.999167513071
70.5,4.8218855820829806e-33,0.0007532653203996957,999.9992467346804
71.0,4.820503197609933e-33,0.000681582643508728,999.9993184173572
71.5,4.819252706178693e-33,0.0006167214865613501,999.9993832785141
72.0,4.818121494130336e-33,0.0005580326761221399,999.9994419673245
72.5,4.817098159878659e-33,0.0005049288399351558,999.9994950711607
73.0,4.8161723963261236e-33,0.0004568785151782473,999.9995431214854
73.5,4.8153348839640435e-33,0.00041340077380274244,999.9995865992269
74.0,4.8145771969057585e-33,0.000374060484336899,999.9996259395162
74.5,4.813891716271574e-33,0.00033846392981666724,999.9996615360708
75.0,4.8132715516031984e-33,0.0003062548225484616,999.9996937451781
75.5,4.812710472431921e-33,0.00027711082610574827,999.9997228891746
76.0,4.8122028433271266e-33,0.00025074024541805643,999.9997492597553
76.5,4.811743567538512e-33,0.00022687915102252517,999.9997731208497
77.0,4.8113280356279194e-33,0.0002052887519667174,999.9997947112488
77.5,4.8109520774601486e-33,0.00018575293702876287,999.9998142470637
78.0,4.810611922037071e-33,0.00016807621504160472,999.9998319237857
78.5,4.8103041571560076e-33,0.00015208164246240918,999.9998479183582
79.0,4.810025697169403e-33,0.00013760916641069126,999.9998623908343
79.5,4.809773749845606e-33,0.00012451391815233365,999.9998754860826
80.0,4.809545790023532e-33,0.00011266485642094285,999.9998873351443
80.5,4.809339532602352e-33,0.00010194337392029023,999.9998980566268
81.0,4.8091529109447814e-33,9.224218328967577e-5,999.9999077578174
81.5,4.8089840547638806e-33,8.346417453546412e-5,999.9999165358262
82.0,4.808831272665539e-33,7.55215132770267e-5,999.9999244784874
82.5,4.808693033675899e-33,6.833468508795823e-5,999.9999316653156
83.0,4.80856795352478e-33,6.183178621613766e-5,999.9999381682145
83.5,4.808454778873795e-33,5.594770680877991e-5,999.9999440522938
84.0,4.808352376774599e-33,5.0623585310720816e-5,999.9999493764153
84.5,4.808259721158707e-33,4.58061082856048e-5,999.9999541938923
85.0,4.808175884623877e-33,4.1447084916334304e-5,999.9999585529157
85.5,4.8081000273582346e-33,3.7502872717714774e-5,999.999962497128
86.0,4.808031389857405e-33,3.3933999856367184e-5,999.9999660660009
86.5,4.807969285074074e-33,3.07047580201794e-5,999.9999692952426
87.0,4.8079130908038836e-33,2.778280723515561e-5,999.9999722171935
87.5,4.807862244923144e-33,2.5138928863504767e-5,999.9999748610719
88.0,4.807816238007366e-33,2.274664236056913e-5,999.9999772533583
88.5,4.807774609568817e-33,2.0582009982058007e-5,999.9999794179907
89.0,4.8077369430790934e-33,1.862337837135971e-5,999.9999813766224
89.5,4.8077028610743616e-33,1.685112430033782e-5,999.9999831488764
90.0,4.8076720227399474e-33,1.5247529284568288e-5,999.9999847524714
90.5,4.807644119277803e-33,1.3796538920627808e-5,999.9999862034617
91.0,4.8076188711260485e-33,1.2483618423874231e-5,999.9999875163822
91.5,4.8075960259497865e-33,1.129564828704717e-5,999.9999887043524
92.0,4.8075753548680776e-33,1.0220728200961147e-5,999.9999897792725
92.5,4.8075566508001315e-33,9.248091116305172e-6,999.9999907519095
93.0,4.807539726901922e-33,8.368022025950469e-6,999.9999916319787
93.5,4.8075244135764305e-33,7.571702559940013e-6,999.9999924282981
94.0,4.807510557377851e-33,6.851154033297978e-6,999.9999931488467
94.5,4.807498019947857e-33,6.199182175144482e-6,999.9999938008185
95.0,4.807486675685968e-33,5.609256020883121e-6,999.9999943907446
95.5,4.8074764108394194e-33,5.075460599886695e-6,999.99999492454
96.0,4.807467122893278e-33,4.592465243891813e-6,999.9999954075354
96.5,4.807458718944078e-33,4.1554390333751955e-6,999.9999958445617
97.0,4.8074511146547873e-33,3.75999646475471e-6,999.9999962400042
97.5,4.807444233930771e-33,3.4021806090763923e-6,999.99999659782
98.0,4.8074380081468603e-33,3.07842292985583e-6,999.9999969215777
98.5,4.8074323748471426e-33,2.7854756776783193e-6,999.9999972145249
99.0,4.807427277553334e-33,2.5204019277368343e-6,999.9999974795987
99.5,4.80742266535466e-33,2.28055425964309e-6,999.9999977194464
100.0,4.807418492072845e-33,2.063531339232168e-6,999.9999979364693
