time,ODE_I,SSA_I,difference
0.0,10.0,10,0.0
0.5,952.6913929972906,952,-0.6913929972905635
1.0,906.2280854875798,891,-15.228085487579847
1.5,862.0308202247834,843,-19.030820224783383
2.0,819.9890810243095,803,-16.989081024309485
2.5,779.9977416395732,768,-11.997741639573178
3.0,741.9568028917288,736,-5.956802891728785
3.5,705.7711426190822,709,3.228857380917816
4.0,671.3502778227286,674,2.6497221772714283
4.5,638.6081384117078,646,7.391861588292159
5.0,607.4628519828857,614,6.537148017114305
5.5,577.836539097207,586,8.163460902792963
6.0,549.6551185408944,558,8.344881459105636
6.5,522.8481220835449,530,7.151877916455078
7.0,497.34851827085083,501,3.651481729149168
7.5,473.0925448110552,480,6.907455188944823
8.0,450.01954913613446,458,7.980450863865542
8.5,428.07183673885555,436,7.928163261144448
9.0,407.1945269061016,406,-1.1945269061016006
9.5,387.3354154887362,387,-0.33541548873620286
10.0,368.4448443640589,367,-1.4448443640588948
10.5,350.475577264681,352,1.5244227353189785
11.0,333.3826816630398,334,0.6173183369601816
11.5,317.123416416862,322,4.876583583137972
12.0,301.6571248938598,298,-3.657124893859816
12.5,286.9451333094027,286,-0.9451333094027063
13.0,272.9506540211852,265,-7.950654021185187
13.5,259.63869354160585,252,-7.638693541605846
14.0,246.97596503574022,243,-3.9759650357402165
14.5,234.93080508639312,232,-2.9308050863931214
15.0,223.47309451985916,222,-1.4730945198591598
15.5,212.57418309148454,212,-0.5741830914845423
16.0,202.20681784581652,201,-1.2068178458165164
16.5,192.34507496966356,194,1.6549250303364431
17.0,182.96429496894356,179,-3.9642949689435625
17.5,174.0410210074142,168,-6.0410210074142014
18.0,165.5529402524491,157,-8.552940252449105
18.5,157.47882808071464,151,-6.478828080714635
19.0,149.79849500628563,144,-5.798495006285634
19.5,142.49273619585492,131,-11.492736195854917
20.0,135.5432834471206,129,-6.5432834471205865
20.5,128.9327595084073,125,-3.932759508407287
21.0,122.64463462640296,119,-3.6446346264029614
21.5,116.66318521376985,115,-1.6631852137698502
22.0,110.9734545313198,110,-0.9734545313198026
22.5,105.56121528874651,105,-0.56121528874651
23.0,100.41293406864487,100,-0.4129340686448728
23.5,95.51573748655044,97,1.4842625134495648
24.0,90.85738000008789,94,3.142619999912114
24.5,86.42621328913206,89,2.5737867108679353
25.0,82.21115712884689,84,1.7888428711531077
25.5,78.20167168315814,76,-2.201671683158139
26.0,74.3877311501701,71,-3.3877311501700973
26.5,70.75979869190398,69,-1.7597986919039812
27.0,67.30880258747649,65,-2.3088025874764924
27.5,64.02611354909641,63,-1.026113549096408
28.0,60.90352314437079,61,0.09647685562921282
28.5,57.93322327065372,58,0.0667767293462802
29.0,55.10778663124492,55,-0.10778663124492027
29.5,52.420148162719016,51,-1.4201481627190162
30.0,49.86358736905656,47,-2.8635873690565603
30.5,47.43171151660258,46,-1.431711516602583
31.0,45.11843964902105,46,0.8815603509789511
31.5,42.917987381713296,44,1.0820126182867043
32.0,40.82485243787401,42,1.1751475621259928
32.5,38.83380088970803,41,2.16619911029197
33.0,36.93985407153907,38,1.0601459284609334
