time,S,I,R
0.0,990.0,10.0,0.0
0.5,2.0567876143331658e-11,952.6913929972906,47.30860700268921
1.0,3.6145700627630565e-11,906.2280854875798,93.77191451238448
1.5,-1.4212509033896547e-11,862.0308202247834,137.96917977523154
2.0,-2.354925736258563e-11,819.9890810243095,180.01091897571504
2.5,2.772888326759465e-11,779.9977416395732,220.00225836040028
3.0,-3.451140340674943e-11,741.9568028917288,258.04319710830686
3.5,-2.6124266396755132e-11,705.7711426190822,294.22885738094504
4.0,7.208118215751494e-12,671.3502778227286,328.64972217726495
4.5,7.798318510048508e-12,638.6081384117078,361.39186158828517
5.0,-3.713995746196783e-11,607.4628519828857,392.53714801715216
5.5,5.773367861195008e-13,577.836539097207,422.1634609027932
6.0,2.682813311939643e-11,549.6551185408944,450.3448814590797
6.5,7.380504929332772e-12,522.8481220835449,477.15187791644865
7.0,-3.427370654643263e-11,497.34851827085083,502.65148172918447
7.5,-2.3547808907470214e-11,473.0925448110552,526.9074551889696
8.0,4.1399333143499264e-11,450.01954913613446,549.9804508638258
8.5,1.9840490395920625e-11,428.07183673885555,571.9281632611263
9.0,-1.7465257447091006e-11,407.1945269061016,592.8054730939175
9.5,-2.1384524654500733e-11,387.3354154887362,612.664584511287
10.0,1.6243969237990073e-11,368.4448443640589,631.5551556359267
10.5,1.329858652281478e-11,350.475577264681,649.5244227353074
11.0,1.0888446344033844e-11,333.3826816630398,666.6173183369514
11.5,-1.3735022675929632e-11,317.123416416862,682.8765835831535
12.0,3.9092354129429376e-11,301.6571248938598,698.342875106103
12.5,-3.9275861534449124e-11,286.9451333094027,713.0548666906385
13.0,-3.865030894356954e-11,272.9506540211852,727.0493459788555
13.5,2.288011263319776e-11,259.63869354160585,740.3613064583734
14.0,-1.9489803284256838e-11,246.97596503574022,753.0240349642814
14.5,4.3877826382606176e-11,234.93080508639312,765.0691949135652
15.0,1.8192017233258373e-12,223.47309451985916,776.5269054801412
15.5,3.650284885747119e-11,212.57418309148454,787.4258169084809
16.0,4.0460490320724393e-11,202.20681784581652,797.793182154145
16.5,-2.8540433466148397e-11,192.34507496966356,807.6549250303667
17.0,-3.086442480785148e-11,182.96429496894356,817.035705031089
17.5,4.362610569301885e-11,174.0410210074142,825.9589789925442
18.0,-8.609686257349756e-12,165.5529402524491,834.4470597475615
18.5,1.5609461022109992e-11,157.47882808071464,842.5211719192719
19.0,-5.494283054822084e-12,149.79849500628563,850.2015049937219
19.5,4.1989882610308524e-11,142.49273619585492,857.5072638041053
20.0,3.4596809812575215e-11,135.5432834471206,864.4567165528467
20.5,-3.339086567504089e-11,128.9327595084073,871.067240491628
21.0,3.7107830554220584e-11,122.64463462640296,877.3553653735619
