time,S,I,R
0.0,990.0,10.0,0.0
0.0002,989.38820268493,10.611591259032627,0.00020605603735512117
0.0004,988.7394141033221,11.2601611865288,0.00042471014903920764
0.0006,988.051451229704,11.947892046765013,0.000656723531084721
0.0008,987.3220089377692,12.67708815999319,0.0009029022376731262
0.001,986.5486540287416,13.450181871580051,0.0011640996785251556
0.0012,985.728819066612,14.269739714145887,0.0014412192422627993
0.0014,984.8597960464236,15.138468736534122,0.0017352170423255097
0.0016,983.9387298995035,16.059222995704193,0.002047104792464131
0.0018,982.9626118571971,17.035010189990327,0.0023779528127143164
0.002,981.9282726898753,18.068998416955136,0.002728893169753176
0.0022,980.8323758468557,19.1645230301912,0.0031011229532505588
0.0024,979.6714105251613,20.32509356714871,0.0034959076902053906
0.0026,978.4416847012938,21.554400713808167,0.003914584898227389
0.0028,977.1393181654281,22.856323266793833,0.004358567778175811
0.003,975.760235604022,24.234935046932538,0.004829349045627555
0.0032,974.3001597837006,25.694511711399773,0.005328504899701294
0.0034,972.7546048970024,27.239537403871026,0.005857699126609552
0.0036,971.1188701388957,28.87471117377035,0.006418687334028428
0.0038,969.3880335920815,30.604953086607704,0.007013321310900276
0.004,967.556946508902,32.43540993759236,0.007643553505631368
0.0042,965.6202280882309,34.371460470155306,0.008311441613783882
0.0044,963.5722608569885,36.418719989747274,0.009019153264283982
0.0046,961.4071867778914,38.58304425131782,0.009768970790856027
0.0048,959.1189042176454,40.870532486281746,0.0105632960728365
0.005,956.7010659229576,43.28752942161581,0.011404655426706531
0.0052,954.1470781653671,45.840626130106436,0.01229570452659935
0.0054,951.450101229844,48.536659536827436,0.013239233328680667
0.0056,948.6030514361877,51.382710392841865,0.014238170970660503
0.0058,945.5986048962673,54.38609951311914,0.015295590613774706
0.006,942.4292032234735,57.55438206233652,0.016414714190240792
0.0062,939.0870614243048,60.89533965868024,0.017598917015131398
0.0064,935.564178214287,64.4169700534964,0.01885173221671516
0.0066,931.8523490084465,68.12747413662005,0.02017685493367524
0.0068,927.9431818474864,72.03524000629008,0.021578146223675022
0.007,923.8281165251468,76.14882383823151,0.02305963662176546
0.0072,919.4984471847688,80.47692728594934,0.024625529281943854
0.0074,914.9453486513663,85.02837114600393,0.026280202629827287
0.0076,910.1599067589734,89.81206502857749,0.028028212449134435
0.0078,905.1331529208711,94.83697278580931,0.029874293319577368
0.008,899.8561031716807,100.11207346900025,0.031823359318960284
0.0082,894.319801884417,105.64631761168509,0.03388050389788275
0.0084,888.5153703270769,111.4485786740912,0.036050998831825304
0.0086,882.434060170364,117.52759953748269,0.03834029215325024
0.0088,876.0673120609501,123.89193393408829,0.04075400496139893
0.009,869.4068191950436,130.5498828779434,0.04329792701291612
0.0092,862.4445958648744,137.50942612413436,0.04597801099119411
0.0094,855.1730508158205,144.77814881882324,0.04880036535628333
0.0096,847.5850651626592,152.36316359166062,0.05177124568013191
0.0098,839.6740744944492,160.27102846117245,0.05489704437836301
0.01,831.4341546007448,168.5076611204839,0.058184278771188196
