case_id,β,γ,repetition,seed,peak_I,peak_time,final_R,conservation_error
1,0.1,0.05,1,224,997,0.1117959519832315,994,0
1,0.1,0.05,2,225,997,0.11386170291150957,988,0
1,0.1,0.05,3,226,998,0.12233017010083946,995,0
1,0.1,0.05,4,227,996,0.11088582088048947,993,0
1,0.1,0.05,5,228,993,0.1461152627436661,992,0
1,0.1,0.05,6,229,996,0.08717137660266341,991,0
1,0.1,0.05,7,230,997,0.10104318698388036,997,0
1,0.1,0.05,8,231,997,0.12246579729586426,997,0
1,0.1,0.05,9,232,997,0.11257271435829085,993,0
1,0.1,0.05,10,233,993,0.15269688188511243,997,0
1,0.1,0.05,11,234,997,0.13165818072167237,992,0
1,0.1,0.05,12,235,997,0.11087938579216192,993,0
1,0.1,0.05,13,236,994,0.12742589270925558,995,0
1,0.1,0.05,14,237,1000,0.12197714975007135,991,0
1,0.1,0.05,15,238,997,0.13382928378493245,996,0
1,0.1,0.05,16,239,998,0.1146575668669748,994,0
1,0.1,0.05,17,240,999,0.11300935801305337,992,0
1,0.1,0.05,18,241,999,0.13556288824116852,992,0
1,0.1,0.05,19,242,999,0.1273164515769576,992,0
1,0.1,0.05,20,243,996,0.10841585290609865,996,0
2,0.3,0.05,1,324,998,0.04195468111308743,994,0
2,0.3,0.05,2,325,999,0.03893591734833525,998,0
2,0.3,0.05,3,326,1000,0.045428587432999476,991,0
2,0.3,0.05,4,327,998,0.04149157066837324,996,0
2,0.3,0.05,5,328,999,0.04277441133326289,993,0
2,0.3,0.05,6,329,1000,0.04220989690117853,994,0
2,0.3,0.05,7,330,999,0.04558687638855348,986,0
2,0.3,0.05,8,331,999,0.04469525779598317,991,0
2,0.3,0.05,9,332,1000,0.04086167646481443,993,0
2,0.3,0.05,10,333,998,0.03591258125660768,996,0
2,0.3,0.05,11,334,1000,0.038424562429793946,994,0
2,0.3,0.05,12,335,999,0.03602800640144724,991,0
2,0.3,0.05,13,336,999,0.03975313968618207,990,0
2,0.3,0.05,14,337,999,0.037891158853464946,996,0
2,0.3,0.05,15,338,999,0.03898506327487266,989,0
2,0.3,0.05,16,339,998,0.04079047981361798,996,0
2,0.3,0.05,17,340,998,0.03757152626179856,993,0
2,0.3,0.05,18,341,998,0.036008958968488276,997,0
2,0.3,0.05,19,342,1000,0.03643356481909851,996,0
2,0.3,0.05,20,343,999,0.0372622753416558,989,0
3,0.8,0.05,1,424,1000,0.013118453265688532,994,0
3,0.8,0.05,2,425,1000,0.013298282759407271,991,0
3,0.8,0.05,3,426,1000,0.013923427262782796,989,0
3,0.8,0.05,4,427,999,0.01563431564715575,995,0
3,0.8,0.05,5,428,1000,0.017465971746818007,991,0
3,0.8,0.05,6,429,1000,0.014187221358323293,993,0
3,0.8,0.05,7,430,998,0.013422340819195522,995,0
3,0.8,0.05,8,431,1000,0.014608750296236098,994,0
3,0.8,0.05,9,432,1000,0.014036028452246,995,0
3,0.8,0.05,10,433,1000,0.014465655401565776,995,0
3,0.8,0.05,11,434,1000,0.015526397264149469,993,0
3,0.8,0.05,12,435,1000,0.014662518409248291,991,0
3,0.8,0.05,13,436,999,0.015873461704646815,993,0
3,0.8,0.05,14,437,1000,0.013813222152792614,987,0
3,0.8,0.05,15,438,999,0.01392227943147428,995,0
3,0.8,0.05,16,439,999,0.01347864877167083,990,0
3,0.8,0.05,17,440,999,0.016258618073539174,993,0
3,0.8,0.05,18,441,999,0.015884285611806697,998,0
3,0.8,0.05,19,442,1000,0.012969489974622762,993,0
