β,peak_I,final_R
0.1,955.6260302185533,999.9543902306333
0.15,954.1569242253432,999.9544603475865
0.2,953.4237125191099,999.9544953420439
0.25,952.984213840127,999.9545163182784
0.3,952.6913929972906,999.9545302939276
0.35,952.4823225084667,999.954540272364
0.4,952.3255673359266,999.9545477539172
0.45,952.2036748987528,999.9545535715578
0.5,952.1061787429859,999.9545582248173
0.55,952.0264209228951,999.9545620314702
0.6,951.9599641575513,999.9545652032945
0.65,951.9037372498141,999.9545678868749
0.7,951.8555469446231,999.9545701868823
0.75,951.8137851395129,999.9545721800747
0.8,951.7772459409837,999.9545739240021
