β,γ,peak_I,final_R,refined_peak,peak_time
0.1,0.05,977.5597487123295,993.2465099611601,995.704573938141,0.12213059509639518
0.15,0.05,976.8088904336391,993.2516972799091,997.0012275893962,0.08409262498374642
0.2,0.05,976.4338038516067,993.25428857274,997.6790001739338,0.06449528709992458
0.25,0.05,976.2088614099328,993.2558425919112,998.0985714288796,0.052482387420928964
0.3,0.05,976.058945384678,993.2568782896647,998.3850892646042,0.044339327726993144
0.35,0.05,975.9518848373681,993.2576179195111,998.5937692725407,0.038443194800873604
0.4,0.05,975.8716016343551,993.2581725575739,998.7528566893949,0.033970015880575674
0.45,0.05,975.8091663758224,993.258603892764,998.8783411643886,0.030456167138822828
0.5,0.05,975.7592227249426,993.2589489294314,998.9799709963861,0.027620428748604264
0.55,0.05,975.7183627497118,993.2592312113563,999.0640363440043,0.025282131539082285
0.6,0.05,975.6843148408702,993.2594664319856,999.1347823672543,0.023319807500627808
0.65,0.05,975.6555065418313,993.2596654546647,999.195180438413,0.02164872236988969
0.7,0.05,975.6308147865326,993.2598360381301,999.2473741233736,0.020207932968728873
0.75,0.05,975.6094160659936,993.2599838715961,999.2929496570491,0.018952464715988437
0.8,0.05,975.5906927954109,993.2601132216676,999.3331066459132,0.017848389915870407
0.1,0.1,955.6260302185533,999.9543902306333,992.1022950568479,0.11531963331559639
0.15,0.1,954.1569242253432,999.9544603475865,994.4645532991599,0.07953091340418528
0.2,0.1,953.4237125191099,999.9544953420439,995.7045739381422,0.06106529754819734
0.25,0.1,952.984213840127,999.9545163182784,996.474401729991,0.04973391822064202
0.3,0.1,952.6913929972906,999.9545302939276,997.0012275893922,0.0420463124918975
0.35,0.1,952.4823225084667,999.954540272364,997.3855805966709,0.03647607495570311
0.4,0.1,952.3255673359266,999.9545477539172,997.6790001739332,0.032247643549968064
0.45,0.1,952.2036748987528,999.9545535715578,997.9107150355704,0.028924354289640623
0.5,0.1,952.1061787429859,999.9545582248173,998.0985714288806,0.026241193710459
0.55,0.1,952.0264209228951,999.9545620314702,998.2540994481079,0.024027821415922294
0.6,0.1,951.9599641575513,999.9545652032945,998.3850892646029,0.022169663863512504
0.65,0.1,951.9037372498141,999.9545678868749,998.4969989046075,0.020586764911210344
0.7,0.1,951.8555469446231,999.9545701868823,998.5937692725424,0.019221597400421758
0.75,0.1,951.8137851395129,999.9545721800747,998.6783189381728,0.018031693787141444
0.8,0.1,951.7772459409837,999.9545739240021,998.7528566893967,0.01698500794027269
0.1,0.2,913.2324870876367,999.9999979197189,985.5908844748411,0.10858919766842215
0.15,0.2,910.4204675316516,999.9999979261273,989.853302839065,0.07500940818806293
0.2,0.2,909.019598762707,999.9999979293185,992.1022950568549,0.0576598166577639
0.25,0.2,908.1807159602159,999.999997931227,993.5033212044252,0.047002121511498754
0.3,0.2,907.6221419142926,999.9999979325005,994.4645532991635,0.03976545670207178
0.35,0.2,907.2234935977987,999.9999979334082,995.1672452965264,0.03451826066526967
0.4,0.2,906.9246893648159,999.9999979340897,995.7045739381418,0.030532648774099808
0.45,0.2,906.6923938462107,999.999997934618,996.1294954847223,0.027398550717982792
0.5,0.2,906.5066252894056,999.9999979350381,996.4744017299923,0.024866959110310435
0.55,0.2,906.3546776780686,999.9999979353865,996.760252416423,0.022777744892755157
0.6,0.2,906.228085487577,999.9999979356751,997.001227589392,0.021023156245954924
0.65,0.2,906.120990895145,999.9999979359188,997.2072738647732,0.01952796803888373
0.7,0.2,906.0292114869152,999.9999979361271,997.3855805966723,0.01823803747784078
0.75,0.2,905.9496812446976,999.9999979363101,997.5414771244956,0.017113382116688863
0.8,0.2,905.8801013542641,999.9999979364693,997.6790001739326,0.01612382177498517
