experiment,λ,c,time,queue,busy
1,0.3,1,0.0,0,0
1,0.3,1,67.46120829508946,0,1
1,0.3,1,134.92241659017893,0,1
1,0.3,1,202.3836248852684,2,1
1,0.3,1,269.84483318035785,0,0
1,0.3,1,337.30604147544733,0,1
1,0.3,1,404.7672497705368,0,0
1,0.3,1,472.2284580656263,0,0
1,0.3,1,539.6896663607157,1,1
1,0.3,1,607.1508746558052,0,1
1,0.3,1,674.6120829508947,2,1
1,0.3,1,742.0732912459841,0,1
1,0.3,1,809.5344995410736,0,0
1,0.3,1,876.9957078361631,2,1
1,0.3,1,944.4569161312526,0,0
1,0.3,1,1011.918124426342,0,1
1,0.3,1,1079.3793327214314,0,0
1,0.3,1,1146.840541016521,2,1
1,0.3,1,1214.3017493116104,1,1
1,0.3,1,1281.7629576067,3,1
1,0.3,1,1349.2241659017893,0,1
1,0.3,1,1416.685374196879,0,0
1,0.3,1,1484.1465824919683,0,0
1,0.3,1,1551.6077907870579,0,1
1,0.3,1,1619.0689990821472,2,1
1,0.3,1,1686.5302073772368,0,0
1,0.3,1,1753.9914156723262,7,1
1,0.3,1,1821.4526239674158,0,1
1,0.3,1,1888.9138322625051,0,0
1,0.3,1,1956.3750405575945,0,1
1,0.3,1,2023.836248852684,0,0
1,0.3,1,2091.2974571477735,0,1
1,0.3,1,2158.758665442863,0,0
1,0.3,1,2226.2198737379526,1,1
1,0.3,1,2293.681082033042,0,0
1,0.3,1,2361.1422903281314,0,0
1,0.3,1,2428.6034986232207,1,1
1,0.3,1,2496.0647069183105,4,1
1,0.3,1,2563.5259152134,0,0
1,0.3,1,2630.9871235084893,0,0
1,0.3,1,2698.4483318035786,1,1
1,0.3,1,2765.9095400986685,0,0
1,0.3,1,2833.370748393758,0,0
1,0.3,1,2900.831956688847,0,0
1,0.3,1,2968.2931649839365,0,0
1,0.3,1,3035.754373279026,0,0
1,0.3,1,3103.2155815741157,2,1
1,0.3,1,3170.676789869205,0,0
1,0.3,1,3238.1379981642945,0,1
1,0.3,1,3305.599206459384,0,0
1,0.3,1,3373.0604147544736,2,1
1,0.3,1,3440.521623049563,0,0
1,0.3,1,3507.9828313446524,0,0
1,0.3,1,3575.4440396397417,0,0
1,0.3,1,3642.9052479348316,0,1
1,0.3,1,3710.366456229921,1,1
1,0.3,1,3777.8276645250103,1,1
1,0.3,1,3845.2888728200996,0,0
1,0.3,1,3912.750081115189,2,1
1,0.3,1,3980.211289410279,1,1
1,0.3,1,4047.672497705368,0,0
1,0.3,1,4115.133706000458,0,1
1,0.3,1,4182.594914295547,3,1
1,0.3,1,4250.056122590637,0,0
1,0.3,1,4317.517330885726,0,0
1,0.3,1,4384.9785391808155,0,0
1,0.3,1,4452.439747475905,1,1
1,0.3,1,4519.900955770994,1,1
1,0.3,1,4587.362164066084,0,1
1,0.3,1,4654.823372361174,1,1
1,0.3,1,4722.284580656263,0,1
1,0.3,1,4789.745788951353,3,1
1,0.3,1,4857.2069972464415,5,1
1,0.3,1,4924.668205541531,0,0
1,0.3,1,4992.129413836621,0,1
