run,time,event,machine,healthy,working,spares,broken,busy,queue
1,0.0,initial,0,13,10,3,0,0,0
1,13.287070589572867,failure,5,12,10,2,1,0,1
1,13.287070589572867,repair_start,5,12,10,2,1,1,0
1,14.777866599306062,repair_complete,5,13,10,3,0,0,0
1,48.2942947633079,failure,2,12,10,2,1,0,1
1,48.2942947633079,repair_start,2,12,10,2,1,1,0
1,48.320095617188976,repair_complete,2,13,10,3,0,0,0
1,70.62142392881357,failure,4,12,10,2,1,0,1
1,70.62142392881357,repair_start,4,12,10,2,1,1,0
1,71.33742486851422,repair_complete,4,13,10,3,0,0,0
1,80.99347796410154,failure,10,12,10,2,1,0,1
1,80.99347796410154,repair_start,10,12,10,2,1,1,0
1,81.90671680908252,repair_complete,10,13,10,3,0,0,0
1,91.30775154945243,failure,6,12,10,2,1,0,1
1,91.30775154945243,repair_start,6,12,10,2,1,1,0
1,92.79655340579178,repair_complete,6,13,10,3,0,0,0
1,108.64691017450028,failure,8,12,10,2,1,0,1
1,108.64691017450028,repair_start,8,12,10,2,1,1,0
1,108.8453264598994,failure,7,11,10,1,2,1,1
1,109.91771165645501,failure,1,10,10,0,3,1,2
1,110.49860642860958,repair_complete,8,11,10,1,2,0,2
1,110.49860642860958,repair_start,7,11,10,1,2,1,1
1,110.94170012298125,repair_complete,7,12,10,2,1,0,1
1,110.94170012298125,repair_start,1,12,10,2,1,1,0
1,113.7005312128706,repair_complete,1,13,10,3,0,0,0
1,132.59002043365035,failure,12,12,10,2,1,0,1
1,132.59002043365035,repair_start,12,12,10,2,1,1,0
1,134.1700564386919,repair_complete,12,13,10,3,0,0,0
1,151.32028159098246,failure,10,12,10,2,1,0,1
1,151.32028159098246,repair_start,10,12,10,2,1,1,0
1,151.62059648059608,repair_complete,10,13,10,3,0,0,0
1,152.48474921805357,failure,4,12,10,2,1,0,1
1,152.48474921805357,repair_start,4,12,10,2,1,1,0
1,152.74432661217656,failure,2,11,10,1,2,1,1
1,154.37206010791016,repair_complete,4,12,10,2,1,0,1
1,154.37206010791016,repair_start,2,12,10,2,1,1,0
1,154.4092873091715,repair_complete,2,13,10,3,0,0,0
1,160.48359186153186,failure,5,12,10,2,1,0,1
1,160.48359186153186,repair_start,5,12,10,2,1,1,0
1,161.3350162414369,repair_complete,5,13,10,3,0,0,0
1,177.62793586675784,failure,13,12,10,2,1,0,1
1,177.62793586675784,repair_start,13,12,10,2,1,1,0
1,177.7783688405631,repair_complete,13,13,10,3,0,0,0
1,186.32965762164932,failure,9,12,10,2,1,0,1
1,186.32965762164932,repair_start,9,12,10,2,1,1,0
1,189.1307965777203,repair_complete,9,13,10,3,0,0,0
1,192.59760801382652,failure,11,12,10,2,1,0,1
1,192.59760801382652,repair_start,11,12,10,2,1,1,0
1,192.7073058736216,repair_complete,11,13,10,3,0,0,0
1,195.8034145724481,failure,13,12,10,2,1,0,1
1,195.8034145724481,repair_start,13,12,10,2,1,1,0
1,197.1222608034978,repair_complete,13,13,10,3,0,0,0
1,205.36851223540714,failure,12,12,10,2,1,0,1
1,205.36851223540714,repair_start,12,12,10,2,1,1,0
1,205.9969895859412,repair_complete,12,13,10,3,0,0,0
1,206.20411189808186,failure,10,12,10,2,1,0,1
1,206.20411189808186,repair_start,10,12,10,2,1,1,0
1,207.05745799990598,failure,4,11,10,1,2,1,1
1,208.54559840309346,repair_complete,10,12,10,2,1,0,1
1,208.54559840309346,repair_start,4,12,10,2,1,1,0
1,209.15960089765605,repair_complete,4,13,10,3,0,0,0
1,221.39981958169074,failure,2,12,10,2,1,0,1
1,221.39981958169074,repair_start,2,12,10,2,1,1,0
1,221.75366803354032,repair_complete,2,13,10,3,0,0,0
1,227.50590624079982,failure,1,12,10,2,1,0,1
1,227.50590624079982,repair_start,1,12,10,2,1,1,0
1,229.41779257871625,repair_complete,1,13,10,3,0,0,0
1,250.5036205482781,failure,4,12,10,2,1,0,1
1,250.5036205482781,repair_start,4,12,10,2,1,1,0
1,251.1908541105113,repair_complete,4,13,10,3,0,0,0
1,251.60868239780308,failure,9,12,10,2,1,0,1
1,251.60868239780308,repair_start,9,12,10,2,1,1,0
1,252.39117257482448,repair_complete,9,13,10,3,0,0,0
1,262.9010873744037,failure,1,12,10,2,1,0,1
1,262.9010873744037,repair_start,1,12,10,2,1,1,0
1,262.9070737850698,repair_complete,1,13,10,3,0,0,0
1,272.3282990613838,failure,9,12,10,2,1,0,1
1,272.3282990613838,repair_start,9,12,10,2,1,1,0
