t,S,I,R
0.0,990,10,0
0.5,987,11,2
1.0,981,16,3
1.5,978,15,7
2.0,975,16,9
2.5,966,23,11
3.0,961,23,16
3.5,956,24,20
4.0,946,30,24
4.5,943,28,29
5.0,940,26,34
5.5,933,32,35
6.0,927,35,38
6.5,918,38,44
7.0,913,39,48
7.5,910,39,51
8.0,905,41,54
8.5,897,46,57
9.0,882,55,63
9.5,872,57,71
10.0,856,66,78
10.5,839,77,84
11.0,826,81,93
11.5,811,92,97
12.0,795,95,110
12.5,779,103,118
13.0,752,122,126
13.5,723,138,139
14.0,692,150,158
14.5,671,150,179
15.0,651,150,199
15.5,632,157,211
16.0,618,154,228
16.5,591,160,249
17.0,568,163,269
17.5,542,165,293
18.0,518,168,314
18.5,497,164,339
19.0,469,174,357
19.5,455,169,376
20.0,438,160,402
20.5,420,159,421
21.0,403,153,444
21.5,383,146,471
22.0,372,141,487
22.5,365,129,506
23.0,357,118,525
23.5,348,114,538
24.0,341,112,547
24.5,334,108,558
25.0,323,110,567
25.5,317,104,579
26.0,312,98,590
26.5,307,95,598
27.0,298,95,607
27.5,292,91,617
28.0,286,85,629
28.5,280,79,641
29.0,276,72,652
29.5,272,68,660
30.0,267,69,664
30.5,265,61,674
31.0,262,61,677
31.5,257,56,687
32.0,256,47,697
32.5,254,43,703
33.0,251,43,706
33.5,251,38,711
34.0,249,37,714
34.5,245,36,719
35.0,243,34,723
35.5,242,33,725
36.0,241,34,725
36.5,239,34,727
37.0,238,33,729
37.5,235,33,732
38.0,232,35,733
38.5,231,28,741
39.0,228,26,746
39.5,228,22,750
40.0,226,23,751
