family,N,I0,beta,c,gamma,T,seed,fixed,sigma,mu,birth_rate,vaccine_time,vaccine_fraction,peak_I,peak_time,S_T,E_T,I_T,R_T,R_fraction,ever_infected,new_infections,births,deaths,vaccinated,contacts,events,extinct,csv
demography,1000,10,0.05,10.0,0.25,400.0,4001,false,Inf,0.01,10.0,-1.0,0.0,170,18.991092354204376,956,0,0,30,0.03,986,976,4005,4019,0,3061061,9942,true,data/sims/demography_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=400p0_seed=4001_fixed=false_sigma=Inf_mu=0p01_br=10p0_vt=m1p0_vf=0p0.csv
demography,1000,10,0.05,10.0,0.25,400.0,4002,false,Inf,0.01,10.0,-1.0,0.0,150,16.591576925767633,966,0,0,34,0.034,946,936,3941,3941,0,2996700,9726,true,data/sims/demography_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=400p0_seed=4002_fixed=false_sigma=Inf_mu=0p01_br=10p0_vt=m1p0_vf=0p0.csv
demography,1000,10,0.05,10.0,0.25,400.0,4003,false,Inf,0.01,10.0,-1.0,0.0,154,15.909799005252147,967,0,0,24,0.024,947,937,3957,3966,0,3125631,9764,true,data/sims/demography_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=400p0_seed=4003_fixed=false_sigma=Inf_mu=0p01_br=10p0_vt=m1p0_vf=0p0.csv
demography,1000,10,0.05,10.0,0.25,400.0,4004,false,Inf,0.01,10.0,-1.0,0.0,134,21.49163382783239,966,0,0,19,0.019,957,947,4037,4052,0,3063252,9959,true,data/sims/demography_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=400p0_seed=4004_fixed=false_sigma=Inf_mu=0p01_br=10p0_vt=m1p0_vf=0p0.csv
demography,1000,10,0.05,10.0,0.25,400.0,4005,false,Inf,0.01,10.0,-1.0,0.0,198,18.39958555516757,1048,0,0,22,0.022,937,927,4163,4093,0,3208439,10082,true,data/sims/demography_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=400p0_seed=4005_fixed=false_sigma=Inf_mu=0p01_br=10p0_vt=m1p0_vf=0p0.csv
demography,1000,10,0.05,10.0,0.25,400.0,4001,false,Inf,0.02,20.0,-1.0,0.0,178,15.231056293242844,978,0,0,1,0.001,1138,1128,8007,8028,0,3316218,18225,true,data/sims/demography_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=400p0_seed=4001_fixed=false_sigma=Inf_mu=0p02_br=20p0_vt=m1p0_vf=0p0.csv
demography,1000,10,0.05,10.0,0.25,400.0,4002,false,Inf,0.02,20.0,-1.0,0.0,178,27.04837477841999,533,0,36,381,0.381,3865,3855,7834,7884,0,2212891,23119,false,data/sims/demography_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=400p0_seed=4002_fixed=false_sigma=Inf_mu=0p02_br=20p0_vt=m1p0_vf=0p0.csv
demography,1000,10,0.05,10.0,0.25,400.0,4003,false,Inf,0.02,20.0,-1.0,0.0,150,14.502648833138377,954,0,0,37,0.037,2580,2570,7738,7747,0,2659059,20462,true,data/sims/demography_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=400p0_seed=4003_fixed=false_sigma=Inf_mu=0p02_br=20p0_vt=m1p0_vf=0p0.csv
demography,1000,10,0.05,10.0,0.25,400.0,4004,false,Inf,0.02,20.0,-1.0,0.0,195,28.882145749482653,981,0,0,41,0.041,2824,2814,7998,7976,0,2606303,21399,true,data/sims/demography_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=400p0_seed=4004_fixed=false_sigma=Inf_mu=0p02_br=20p0_vt=m1p0_vf=0p0.csv
demography,1000,10,0.05,10.0,0.25,400.0,4005,false,Inf,0.02,20.0,-1.0,0.0,156,17.1918058554523,1020,0,0,0,0.0,1076,1066,8027,8007,0,3472765,18103,true,data/sims/demography_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=400p0_seed=4005_fixed=false_sigma=Inf_mu=0p02_br=20p0_vt=m1p0_vf=0p0.csv
