family,N,I0,beta,c,gamma,T,seed,fixed,sigma,mu,birth_rate,vaccine_time,vaccine_fraction,peak_I,peak_time,S_T,E_T,I_T,R_T,R_fraction,ever_infected,new_infections,births,deaths,vaccinated,contacts,events,extinct,csv
duration,1000,10,0.05,10.0,0.25,40.0,1234,false,Inf,0.0,0.0,-1.0,0.0,174,17.872235262824127,226,0,23,751,0.751,774,764,0,0,0,216337,1515,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=1234_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3002,false,Inf,0.0,0.0,-1.0,0.0,178,14.475662595065536,202,0,6,792,0.792,798,788,0,0,0,195999,1580,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3002_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3003,false,Inf,0.0,0.0,-1.0,0.0,186,15.034043395855313,182,0,9,809,0.809,818,808,0,0,0,177296,1617,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3003_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3004,false,Inf,0.0,0.0,-1.0,0.0,163,16.29527072780412,288,0,4,708,0.708,712,702,0,0,0,221782,1410,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3004_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3005,false,Inf,0.0,0.0,-1.0,0.0,187,17.98433950468196,160,0,13,827,0.827,840,830,0,0,0,205605,1657,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3005_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3006,false,Inf,0.0,0.0,-1.0,0.0,135,25.70368410546139,264,0,52,684,0.684,736,726,0,0,0,258271,1410,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3006_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3007,false,Inf,0.0,0.0,-1.0,0.0,180,19.032756662283536,193,0,12,795,0.795,807,797,0,0,0,202232,1592,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3007_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3008,false,Inf,0.0,0.0,-1.0,0.0,151,20.717425668652453,200,0,31,769,0.769,800,790,0,0,0,226693,1559,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3008_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3009,false,Inf,0.0,0.0,-1.0,0.0,176,16.64000944230106,236,0,10,754,0.754,764,754,0,0,0,203994,1508,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3009_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
duration,1000,10,0.05,10.0,0.25,40.0,3010,false,Inf,0.0,0.0,-1.0,0.0,136,24.6076511896661,291,0,20,689,0.689,709,699,0,0,0,253362,1388,false,data/sims/duration_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=3010_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
