family,N,I0,beta,c,gamma,T,seed,fixed,sigma,mu,birth_rate,vaccine_time,vaccine_fraction,peak_I,peak_time,S_T,E_T,I_T,R_T,R_fraction,ever_infected,new_infections,births,deaths,vaccinated,contacts,events,extinct,csv
ode-comparison,1000,10,0.05,10.0,0.25,40.0,7001,false,Inf,0.0,0.0,-1.0,0.0,165,18.138506205986126,205,0,14,781,0.781,795,785,0,0,0,216642,1566,false,data/sims/ode-comparison_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=7001_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
ode-comparison,1000,10,0.05,10.0,0.25,40.0,7002,false,Inf,0.0,0.0,-1.0,0.0,178,15.56965492089444,212,0,14,774,0.774,788,778,0,0,0,204924,1552,false,data/sims/ode-comparison_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=7002_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
ode-comparison,1000,10,0.05,10.0,0.25,40.0,7003,false,Inf,0.0,0.0,-1.0,0.0,13,1.9394794594839648,961,0,0,39,0.039,39,29,0,0,0,385597,68,true,data/sims/ode-comparison_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=7003_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
ode-comparison,1000,10,0.05,10.0,0.25,40.0,7004,false,Inf,0.0,0.0,-1.0,0.0,181,14.675393029749154,213,0,11,776,0.776,787,777,0,0,0,205701,1553,false,data/sims/ode-comparison_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=7004_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
ode-comparison,1000,10,0.05,10.0,0.25,40.0,7005,false,Inf,0.0,0.0,-1.0,0.0,168,20.935241329349136,220,0,14,766,0.766,780,770,0,0,0,231326,1536,false,data/sims/ode-comparison_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=7005_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
ode-comparison,1000,10,0.05,10.0,0.25,40.0,7006,false,Inf,0.0,0.0,-1.0,0.0,157,15.378639455101816,202,0,16,782,0.782,798,788,0,0,0,211002,1570,false,data/sims/ode-comparison_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=7006_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
ode-comparison,1000,10,0.05,10.0,0.25,40.0,7007,false,Inf,0.0,0.0,-1.0,0.0,164,23.52948700205202,218,0,21,761,0.761,782,772,0,0,0,234654,1533,false,data/sims/ode-comparison_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=7007_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
ode-comparison,1000,10,0.05,10.0,0.25,40.0,7008,false,Inf,0.0,0.0,-1.0,0.0,153,19.73210135724918,210,0,15,775,0.775,790,780,0,0,0,207950,1555,false,data/sims/ode-comparison_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=7008_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
ode-comparison,1000,10,0.05,10.0,0.25,40.0,7009,false,Inf,0.0,0.0,-1.0,0.0,180,17.095363703867566,216,0,14,770,0.77,784,774,0,0,0,205217,1544,false,data/sims/ode-comparison_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=7009_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
ode-comparison,1000,10,0.05,10.0,0.25,40.0,7010,false,Inf,0.0,0.0,-1.0,0.0,161,21.518922490492987,243,0,27,730,0.73,757,747,0,0,0,242562,1477,false,data/sims/ode-comparison_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=7010_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
