t,mean_I,sd_I,q10,q90
0.0,10.0,0.0,10.0,10.0
0.5,11.45,1.5719582155957414,9.9,13.100000000000001
1.0,12.55,3.1701734968294715,9.0,16.0
1.5,14.0,4.26737932644726,9.9,17.300000000000004
2.0,15.1,5.230477486505616,10.0,20.0
2.5,16.35,6.643358377079757,9.9,25.1
3.0,18.4,8.653566347253356,10.0,28.900000000000013
3.5,19.85,9.826253770277598,9.8,33.60000000000001
4.0,22.65,9.587683985745791,10.8,32.80000000000001
4.5,25.5,10.966456031678458,12.700000000000001,38.60000000000001
5.0,29.65,12.823805987303457,14.8,42.80000000000001
5.5,32.35,14.04981738034529,16.700000000000003,46.50000000000001
6.0,35.8,15.816713345465661,16.8,55.70000000000001
6.5,40.3,17.847600457912073,17.700000000000003,66.1
7.0,45.3,21.186142442147116,21.5,76.4
7.5,50.25,24.29831053256259,25.400000000000002,87.19999999999999
8.0,55.15,27.137612275216846,25.0,89.60000000000002
8.5,59.0,28.760352827057634,26.900000000000002,96.4
9.0,65.75,31.365208683977755,30.0,113.70000000000002
9.5,69.65,33.37864902188697,33.6,114.30000000000003
10.0,75.3,35.68738535791338,38.7,120.5
10.5,82.45,38.39198792511408,36.9,133.10000000000002
11.0,89.25,40.277818108469425,43.9,135.4
11.5,94.95,41.57615080535323,43.8,135.3
12.0,101.1,42.531598160723554,48.6,147.00000000000003
12.5,106.2,43.77165629419159,52.9,154.3
13.0,111.6,43.378869461864426,59.6,157.5
13.5,118.55,43.901174903352384,68.6,159.4
14.0,123.75,43.20681598276389,78.9,165.4
14.5,127.05,42.95465785661606,79.6,160.5
15.0,130.5,42.15822327225952,86.1,163.9
15.5,134.15,42.746837371472964,95.60000000000001,173.20000000000002
16.0,136.1,41.96351799009781,97.7,174.2
16.5,139.0,41.35978214337411,100.10000000000001,172.3
17.0,141.0,40.53977903504811,108.7,175.1
17.5,141.95,39.53076749757546,113.00000000000001,169.60000000000002
18.0,139.85,38.03222317982476,115.30000000000001,167.1
18.5,139.4,38.38365880368747,114.10000000000001,168.4
19.0,138.05,38.959459360779256,107.30000000000001,175.0
19.5,135.95,38.57934407780521,105.80000000000001,174.0
20.0,133.7,38.72589233112783,101.8,168.3
20.5,130.55,38.06016704889081,97.6,159.3
21.0,128.4,39.22861469038023,88.7,160.5
21.5,126.55,38.85529835847765,81.5,158.1
22.0,124.7,37.919721295888955,85.0,156.3
22.5,122.45,38.262906319306175,83.4,155.3
23.0,118.65,37.825464828256685,76.8,156.2
23.5,116.3,38.21146149355824,74.7,152.4
24.0,111.75,37.94577155556819,67.9,147.6
24.5,108.75,38.16153340182948,64.4,144.0
25.0,103.8,36.65428818167477,59.7,135.0
25.5,99.1,35.823984908673154,54.5,131.2
26.0,94.65,35.29018799072984,49.3,129.3
26.5,91.2,35.466218174185805,42.800000000000004,124.60000000000002
27.0,86.25,34.03075234641688,40.7,123.00000000000001
27.5,80.3,32.56103580403392,37.800000000000004,120.2
28.0,76.1,30.903755520375803,35.9,116.1
28.5,72.3,29.907048984267377,33.8,112.30000000000001
29.0,67.85,27.8610745249391,33.5,106.30000000000001
29.5,65.5,27.46768436200122,33.300000000000004,103.1
30.0,62.0,26.105050932923426,32.3,95.6
30.5,58.15,24.14926173002527,33.1,91.3
31.0,54.1,23.982230263698423,27.200000000000003,88.2
31.5,52.1,24.432290971279446,26.300000000000004,87.5
32.0,48.5,23.361011153314042,23.200000000000003,85.20000000000002
32.5,46.05,22.065631766689975,19.6,80.1
33.0,43.35,20.36063022496835,18.700000000000003,75.3
33.5,40.25,19.57139427031734,17.9,64.30000000000001
34.0,38.65,18.71468604289718,16.9,56.00000000000003
34.5,36.45,17.35837428720607,18.700000000000003,52.90000000000003
35.0,33.3,16.588201260312452,15.8,50.50000000000002
35.5,31.25,14.674987671473346,15.9,49.50000000000001
36.0,29.85,14.094698518087906,16.700000000000003,46.50000000000001
36.5,27.75,14.022069071739432,13.9,42.60000000000001
37.0,25.35,12.461625305840242,13.9,39.80000000000001
37.5,23.35,11.384546312297301,12.9,35.70000000000001
38.0,21.95,12.106870602656725,9.9,35.50000000000001
38.5,20.55,11.878662869992874,9.8,34.2
39.0,19.65,11.1131737851501,8.9,32.300000000000004
39.5,19.2,10.262860994355993,10.600000000000001,30.1
40.0,16.95,9.052333226417666,10.500000000000002,27.0
