t,S,I,R
0.0,990.0,10.0,0.0
0.01,989.9503908247523,10.024578464219573,0.025030711028189895
0.02,989.9006622190536,10.049214840365378,0.05012294058101773
0.03,989.8508139139375,10.07390925246924,0.07527683359329648
0.04,989.8008456399234,10.098661824766406,0.10049253531017299
0.05,989.7507571270168,10.12347268169555,0.12577019128763645
0.06,989.7005481047081,10.148341947898778,0.15110994739302705
0.07,989.6502183019727,10.17326974822164,0.1765119498055446
0.08,989.59976744727,10.19825620771312,0.201976345016757
0.09,989.5491952685431,10.223301451625638,0.2275032798311089
0.1,989.4985014932184,10.248405605415046,0.2530929013664304
0.11,989.4476858482049,10.273568794740628,0.2787453570544454
0.12,989.3967480598935,10.298791145465083,0.3044607946412804
0.13,989.3456878541574,10.324072783654522,0.3302393621879728
0.14,989.2945049563505,10.34941383557845,0.35608120807097954
0.15,989.2431990913075,10.374814427709753,0.38198648098268556
0.16,989.1917699833433,10.400274686724684,0.40795532993191236
0.17,989.1402173562526,10.425794739502845,0.43398790424442607
0.18,989.0885409333092,10.451374713127155,0.460084353563446
0.19,989.0367404372658,10.477014734883841,0.4862448278501531
0.2,988.9848155903533,10.502714932262403,0.5124694773841978
0.21,988.9327661142801,10.528475432955586,0.5387584527642082
0.22,988.8805917302323,10.55429636485935,0.5651119049082988
0.23,988.8282921588725,10.580177856072842,0.5915299850545773
0.24,988.77586712034,10.606120034898352,0.6180128447616537
0.25,988.7233163342495,10.632123029841281,0.6445606359091477
0.26,988.6706395196916,10.658186969610103,0.671173510698196
0.27,988.6178363952316,10.684311983116316,0.6978516216519602
0.28,988.5649066789093,10.710498199474403,0.7245951216161349
0.29,988.5118500882386,10.736745748001777,0.751404163759454
0.3,988.4586663402068,10.763054758218741,0.7782789015741991
0.31,988.4053551512746,10.789425359848432,0.8052194888767057
0.32,988.3519162373751,10.815857682816759,0.8322260798078709
0.33,988.2983493139137,10.842351857252359,0.8592988288336597
0.34,988.2446540957676,10.868908013486527,0.8864378907456123
0.35,988.1908302972852,10.89552628205316,0.91364342066135
0.36,988.1368776322859,10.922206793688686,0.9409155740250826
0.37,988.0827958140595,10.948949679332001,0.9682545066081139
0.38,988.0285845553659,10.975755070124404,0.9956603745093475
0.39,987.9742435684343,11.002623097409511,1.0231333341557938
0.4,987.9197725649633,11.029553892733196,1.0506735423030746
0.41,987.8651712561201,11.0565475878435,1.0782811560359291
0.42,987.8104393525402,11.08360431469056,1.1059563327687199
0.43,987.755576564327,11.11072420542652,1.1336992302459366
0.44,987.7005826010513,11.137907392405452,1.1615100065427022
0.45,987.645457171751,11.165154008183263,1.189388820065277
0.46,987.5901999849303,11.192464185517604,1.2173358295515628
0.47,987.5348107485601,11.219838057367781,1.2453511940716084
0.48,987.4792891700766,11.247275756894652,1.2734350730281125
0.49,987.423634956382,11.274777417460536,1.301587626156928
0.5,987.3678478138428,11.302343172629104,1.3298090135275646
0.51,987.3119274482905,11.329973156165282,1.3580993955436935
0.52,987.2558735650207,11.357667502035138,1.3864589329436494
0.53,987.1996858687928,11.385426344405776,1.4148877868009335
0.54,987.1433640638296,11.413249817645218,1.4433861185247159
0.55,987.0869078538169,11.441138056322295,1.4719540898603378
0.56,987.0303169419032,11.469091195206524,1.5005918628898136
0.57,986.9735910306991,11.49710936926799,1.5292996000323316
0.58,986.9167298222775,11.525192713677223,1.5580774640447568
0.59,986.8597330181723,11.553341363805064,1.58692561802213
0.6,986.8026003193787,11.581555455222542,1.6158442253981702
0.61,986.7453314263529,11.60983512370074,1.6448334499457735
0.62,986.6879260390112,11.63818050521066,1.6738934557775138
0.63,986.6303838567302,11.666591735923078,1.7030244073461425
0.64,986.5727045783459,11.695068952208414,1.7322264694450868
0.65,986.5148879021539,11.72361229063658,1.7614998072089503
0.66,986.4569335259085,11.752221887976832,1.7908445861140099
0.67,986.3988411468231,11.780897881197623,1.820260971978715
0.68,986.3406104615688,11.809640407466448,1.849749130964185
0.69,986.282241166275,11.838449604149687,1.8793092295747058
0.7,986.2237329565287,11.86732560881245,1.9089414346582294
0.71,986.1650855273741,11.896268559218406,1.9386459134068674
0.72,986.1062985733124,11.925278593329624,1.9684228333573892
0.73,986.0473717883013,11.954355849306403,1.998272362391717
0.74,985.9883048657549,11.983500465507099,2.028194668737421
0.75,985.9290974985432,12.012712580487952,2.058189920968216
0.76,985.8697493789921,12.041992333002904,2.088258288004453
0.77,985.8102601988824,12.071339862003423,2.1183999391136155
0.78,985.7506296494503,12.100755306638314,2.1486150439108123
0.79,985.6908574213866,12.130238806253535,2.178903772359271
0.8,985.6309432048365,12.159790500392004,2.2092662947708295
0.81,985.5708866893995,12.189410528793404,2.23970278180643
0.82,985.5106875641287,12.219099031393988,2.2702134044766087
0.83,985.450345517531,12.248856148326379,2.300798334141989
0.84,985.3898602375663,12.278682019919362,2.331457742513771
0.85,985.3292314116475,12.308576786697682,2.36219180165422
0.86,985.2684587266403,12.338540589381829,2.3930006839771605
0.87,985.207541868863,12.368573568887827,2.423884562248461
0.88,985.1464805240857,12.398675866327018,2.454843609586524
0.89,985.0852743775307,12.428847623005838,2.485877999462775
0.9,985.0239231138715,12.459088980425596,2.51698790570215
0.91,984.9624264172335,12.489400080282246,2.5481735024835803
0.92,984.9007839711927,12.519781064466153,2.5794349643404804
0.93,984.8389954587763,12.550232075061865,2.610772466161234
0.94,984.7770605624618,12.580753254347872,2.642186183189678
0.95,984.7149789641774,12.611344744796364,2.673676291025588
0.96,984.6527503453011,12.64200668907299,2.7052429656251626
0.97,984.5903743866612,12.672739230036605,2.7368863833015054
0.98,984.5278507685351,12.703542510739025,2.7686067207251077
0.99,984.4651791706501,12.734416674424764,2.800404154924333
1.0,984.4023592721825,12.765361864530785,2.832278863285895
1.01,984.3393907517576,12.796378224686228,2.864231023555341
1.02,984.2762732874495,12.827465898712148,2.896260813837531
1.03,984.2130065567808,12.858625030621253,2.928368412597117
1.04,984.1495902367225,12.889855764617618,2.960553998659023
1.05,984.0860240036938,12.921158245096418,2.9928177512089205
1.06,984.0223075335617,12.952532616643643,3.0251598497937082
1.07,983.9584405016412,12.983979024035817,3.057580474321989
1.08,983.8944225826948,13.015497612239706,3.0900798050645433
1.09,983.8302534509322,13.047088526412034,3.1226580226548073
1.1,983.7659327800105,13.07875191189918,3.1553153080893455
1.11,983.7014602430338,13.110487914236884,3.188051842728325
1.12,983.636835512553,13.142296679149942,3.220867808295989
1.13,983.572058260566,13.174178352551897,3.2537633868811278
1.14,983.5071281585167,13.20613308054474,3.286738760937553
1.15,983.4420448772959,13.238161009418581,3.319794113284565
1.16,983.3768080872402,13.270262285651343,3.3529296271074247
1.17,983.3114174581327,13.302437055908433,3.3861454859578215
1.18,983.2458726592022,13.334685467042418,3.4194418737543435
1.19,983.1801733591233,13.367007666092698,3.4528189747829434
1.2,983.1143192260164,13.399403800285171,3.486276973697405
1.21,983.0483099274472,13.431874017031891,3.5198160555198106
1.22,982.9821451304272,13.464418463930738,3.553436405641004
1.23,982.9158245014128,13.497037288765059,3.5871382098210565
1.24,982.8493477063058,13.52973063950333,3.6209216541897287
1.25,982.7827144104532,13.562498664298793,3.6547869252469334
1.26,982.7159242786466,13.59534151148911,3.6887342098631977
1.27,982.6489769751229,13.628259329595991,3.722763695280122
1.28,982.5818721635633,13.661252267324834,3.7568755691108415
1.29,982.5146095070941,13.69432047356435,3.7910700193404843
1.3,982.4471886682861,13.727464097386198,3.825347234326628
1.31,982.3796093091546,13.760683288044602,3.8597074027997587
1.32,982.3118710911592,13.793978194975969,3.894150713863725
1.33,982.2439736752042,13.827348967798502,3.928677356996194
1.34,982.1759167216379,13.860795756311811,3.9632875220491055
1.35,982.1076998902532,13.89431871049652,3.997981399249125
1.36,982.0393228402869,13.927917980513868,4.032759179198095
1.37,981.9707852304201,13.9615937167053,4.067621052873486
1.38,981.902086718778,13.995346069592069,4.1025672116288465
1.39,981.8332269629299,14.029175189874818,4.137597847194255
1.4,981.764205619889,14.063081228433168,4.172713151676763
1.41,981.6950223461129,14.097064336325293,4.207913317560845
1.42,981.6256767975027,14.1311246647875,4.243198537708843
1.43,981.5561686294038,14.165262365233797,4.2785690053614145
1.44,981.4864974966056,14.199477589255466,4.3140249141379705
1.45,981.4166630533413,14.233770488620614,4.349566458037123
1.46,981.3466649532882,14.26814121527374,4.3851938314371255
1.47,981.2765028495675,14.302589921335288,4.420907229096311
1.48,981.2061763947444,14.337116759101193,4.456706846153535
1.49,981.135685240828,14.371721881042424,4.49259287812861
1.5,981.0650290392717,14.40640543980453,4.5285655209227444
1.51,980.9942074409729,14.44116758820717,4.564624970818979
1.52,980.9232200962728,14.476008479243646,4.600771424482621
1.53,980.852066654957,14.510928266080429,4.6370050789616775
1.54,980.7807467662551,14.545927102056682,4.673326131687286
1.55,980.7092600788411,14.581005140683777,4.709734780474149
1.56,980.6376062408333,14.616162535644806,4.7462312235209625
1.57,980.5657848997942,14.651399440794089,4.782815659410843
1.58,980.4937957027306,14.68671601015668,4.819488287111756
1.59,980.4216382960942,14.72211239792786,4.856249305976946
1.6,980.349312325781,14.75758875847264,4.8930989157453535
1.61,980.2768174371317,14.79314524632524,4.9300373165420455
1.62,980.2041532749319,14.828782016188581,4.967064708878635
1.63,980.1313194834116,14.864499222933759,5.004181293653701
1.64,980.0583157062464,14.900297021599526,5.041387272153216
1.65,979.9851415865564,14.936175567391754,5.078682846050951
1.66,979.9117967669073,14.972135015682902,5.116068217408903
1.67,979.8382808893099,15.00817552201148,5.153543588677708
1.68,979.7645935952205,15.0442972420815,5.191109162697057
1.69,979.6907345255411,15.080500331761927,5.228765142696103
1.7,979.6167033206191,15.116784947086128,5.266511732293882
1.71,979.5424996202481,15.153151244251308,5.304349135499714
1.72,979.4681230636676,15.18959937961795,5.3422775567136185
1.73,979.3935732895632,15.226129509709246,5.380297200726719
1.74,979.318849936067,15.262741791210514,5.418408272721652
1.75,979.2439526407575,15.299436380968633,5.456610978272965
1.76,979.16888104066,15.336213435991448,5.494905523347528
1.77,979.0936347722469,15.373073113447184,5.533292114304929
1.78,979.0182134714373,15.41001557066385,5.571770957897877
1.79,978.9426167735978,15.447040965128645,5.610342261272601
1.8,978.8668443135425,15.484149454487344,5.649006231969245
1.81,978.7908957255331,15.521341196543698,5.6877630779222645
1.82,978.7147706432794,15.558616349258813,5.726613007460824
1.83,978.6384686999393,15.59597507075053,5.765556229309185
1.84,978.561989528119,15.633417519292802,5.8045929525870985
1.85,978.4853327598737,15.670943853315062,5.843723386810195
1.86,978.408498026707,15.708554231401589,5.882947741890373
1.87,978.3314849595719,15.74624881229086,5.922266228136184
1.88,978.2542931888707,15.784027754874913,5.961679056253217
1.89,978.1769223444556,15.821891218198692,6.0011864373444865
1.9,978.0993720556287,15.859839361459386,6.040788582910804
1.91,978.021641951142,15.89787234400577,6.080485704851167
1.92,977.9437316591983,15.935990325337535,6.120278015463133
1.93,977.8656408074512,15.97419346510462,6.1601657274431965
1.94,977.7873690230053,16.012481923106524,6.200149053887164
1.95,977.7089159324169,16.05085585929163,6.240228208290527
1.96,977.6302811616937,16.08931543375651,6.280403404548834
1.97,977.5514643362957,16.12786080674524,6.320674856958059
1.98,977.4724650811353,16.166492138648678,6.3610427802149685
1.99,977.3932830205777,16.205209590003783,6.401507389417491
2.0,977.313917778441,16.244013321492886,6.4420689000650775
2.01,977.234368977997,16.28290349394298,6.482727528059067
2.02,977.1546362419709,16.321880268324996,6.5234834897030485
2.03,977.0747191925427,16.360943805753067,6.56433700170321
2.04,976.9946174513465,16.40009426748381,6.605288281168712
2.05,976.9143306394714,16.439331814915565,6.646337545612026
2.06,976.833858377462,16.478656609587674,6.687485012949303
2.07,976.7532002853186,16.5180688131797,6.72873090150071
2.08,976.6723559824975,16.557568587510698,6.770075429990796
2.09,976.5913250879117,16.597156094538438,6.811518817548823
2.1,976.5101072199312,16.636831496358635,6.853061283709128
2.11,976.4287019963833,16.676594955204177,6.89470304841145
2.12,976.3471090345533,16.716446633444352,6.936444332001289
2.13,976.2653279511846,16.756386693584048,6.978285355230233
2.14,976.1833583624797,16.796415298262975,7.020226339256305
2.15,976.1011998840999,16.836532610254853,7.0622675056442885
2.16,976.0188521311663,16.87673879246662,7.104409076366076
2.17,975.9363147182604,16.917034007937616,7.146651273800984
2.18,975.8535872594241,16.95741841983877,7.188994320736102
2.19,975.7706693681606,16.997892191471777,7.231438440366601
2.2,975.6875606574347,17.03845548626827,7.273983856296076
2.21,975.6042607396732,17.079108467788977,7.316630792536857
2.22,975.5207692267658,17.119851299722907,7.359379473510344
2.23,975.4370857300652,17.16068414588647,7.40223012404731
2.24,975.3532098603881,17.20160717022266,7.445182969388234
2.25,975.2691412280152,17.24262053680016,7.488238235183603
2.26,975.1848794426922,17.283724409812514,7.531396147494241
2.27,975.1004241136302,17.324918953577228,7.574656932791606
2.28,975.015774849506,17.366204332534902,7.618020817958101
2.29,974.9309312584633,17.407580711248357,7.66148803028739
2.3,974.8458929481126,17.449048254401735,7.705058797484688
2.31,974.7606595255323,17.490607126799606,7.748733347667081
2.32,974.6752305972692,17.53225749336606,7.792511909363807
2.33,974.5896057693387,17.573999519143822,7.836394711516568
2.34,974.503784647226,17.6158333692933,7.880381983479815
2.35,974.4177668358864,17.6577592090917,7.924473955021054
2.36,974.331551939746,17.69977720393208,7.968670856321121
2.37,974.2451395627022,17.741887519322418,8.012972917974485
2.38,974.1585293081249,17.784090320884673,8.057380370989522
2.39,974.0717207788565,17.82638577435385,8.10189344678881
2.4,973.9847135772127,17.86877404557702,8.1465123772094
2.41,973.8975073049836,17.91125530051239,8.191237394503101
2.42,973.810101563434,17.95382970522832,8.236068731336758
2.43,973.7224959533042,17.99649742590236,8.281006620792521
2.44,973.6346900748108,18.03925862882025,8.326051296368119
2.45,973.546683527647,18.08211348037497,8.371202991977134
2.46,973.4584759109841,18.125062147065716,8.416461941949255
2.47,973.3700668234716,18.168104795496916,8.461828381030559
2.48,973.2814558632381,18.211241592377217,8.507302544383759
2.49,973.192642627892,18.254472704518484,8.552884667588474
2.5,973.1036267145228,18.297798298834767,8.598574986641475
2.51,973.0144077197008,18.341218542341284,8.64437373795695
