family,N,I0,beta,c,gamma,T,seed,fixed,sigma,mu,birth_rate,vaccine_time,vaccine_fraction,peak_I,peak_time,S_T,E_T,I_T,R_T,R_fraction,ever_infected,new_infections,births,deaths,vaccinated,contacts,events,extinct,csv
seir,1000,10,0.05,10.0,0.25,40.0,6001,false,Inf,0.0,0.0,-1.0,0.0,121,27.66856488829073,309,0,35,656,0.656,691,681,0,0,0,274559,1337,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6001_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6002,false,Inf,0.0,0.0,-1.0,0.0,195,14.807674187078927,182,0,8,810,0.81,818,808,0,0,0,193998,1618,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6002_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6003,false,Inf,0.0,0.0,-1.0,0.0,167,17.288335739829222,228,0,19,753,0.753,772,762,0,0,0,215715,1515,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6003_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6004,false,Inf,0.0,0.0,-1.0,0.0,151,19.852832499755095,256,0,31,713,0.713,744,734,0,0,0,249013,1447,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6004_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6005,false,Inf,0.0,0.0,-1.0,0.0,151,15.097319313773756,242,0,20,738,0.738,758,748,0,0,0,211188,1486,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6005_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6006,false,Inf,0.0,0.0,-1.0,0.0,212,18.06842146900267,167,0,9,824,0.824,833,823,0,0,0,187183,1647,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6006_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6007,false,Inf,0.0,0.0,-1.0,0.0,168,19.063970315781038,233,0,22,745,0.745,767,757,0,0,0,231807,1502,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6007_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6008,false,Inf,0.0,0.0,-1.0,0.0,173,15.802100892221745,228,0,15,757,0.757,772,762,0,0,0,202612,1519,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6008_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6009,false,Inf,0.0,0.0,-1.0,0.0,159,18.756171370039443,275,0,18,707,0.707,725,715,0,0,0,243987,1422,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6009_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6010,false,Inf,0.0,0.0,-1.0,0.0,175,22.302877969303065,175,0,23,802,0.802,825,815,0,0,0,220510,1617,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6010_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6001,false,0.25,0.0,0.0,-1.0,0.0,80,34.45173670346002,467,80,76,377,0.377,533,523,0,0,0,319462,1343,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6001_fixed=false_sigma=0p25_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6002,false,0.25,0.0,0.0,-1.0,0.0,70,38.79430198500399,547,78,60,315,0.315,453,443,0,0,0,328763,1123,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6002_fixed=false_sigma=0p25_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
seir,1000,10,0.05,10.0,0.25,40.0,6003,false,0.25,0.0,0.0,-1.0,0.0,109,29.492591055078133,316,83,81,520,0.52,684,674,0,0,0,281957,1785,false,data/sims/seir_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=6003_fixed=false_sigma=0p25_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
