family,N,I0,beta,c,gamma,T,seed,fixed,sigma,mu,birth_rate,vaccine_time,vaccine_fraction,peak_I,peak_time,S_T,E_T,I_T,R_T,R_fraction,ever_infected,new_infections,births,deaths,vaccinated,contacts,events,extinct,csv
scan,1000,10,0.03,5.0,0.15,40.0,2001,false,Inf,0.0,0.0,-1.0,0.0,13,8.370874150828215,962,0,1,37,0.037,38,28,0,0,0,194207,65,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p15_T=40p0_seed=2001_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.15,40.0,2002,false,Inf,0.0,0.0,-1.0,0.0,16,39.779925810260956,935,0,14,51,0.051,65,55,0,0,0,192837,106,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p15_T=40p0_seed=2002_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.15,40.0,2003,false,Inf,0.0,0.0,-1.0,0.0,11,0.5406408342164563,964,0,8,28,0.028,36,26,0,0,0,195677,54,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p15_T=40p0_seed=2003_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.15,40.0,2004,false,Inf,0.0,0.0,-1.0,0.0,12,22.28323394574014,943,0,8,49,0.049,57,47,0,0,0,193137,96,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p15_T=40p0_seed=2004_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.15,40.0,2005,false,Inf,0.0,0.0,-1.0,0.0,16,37.32252478194503,939,0,16,45,0.045,61,51,0,0,0,192739,96,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p15_T=40p0_seed=2005_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.15,40.0,2006,false,Inf,0.0,0.0,-1.0,0.0,31,26.6372707254017,881,0,12,107,0.107,119,109,0,0,0,186464,216,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p15_T=40p0_seed=2006_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.15,40.0,2007,false,Inf,0.0,0.0,-1.0,0.0,16,4.6822983821801305,961,0,2,37,0.037,39,29,0,0,0,194366,66,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p15_T=40p0_seed=2007_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.15,40.0,2008,false,Inf,0.0,0.0,-1.0,0.0,20,3.933251375195064,911,0,17,72,0.072,89,79,0,0,0,189234,151,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p15_T=40p0_seed=2008_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.15,40.0,2009,false,Inf,0.0,0.0,-1.0,0.0,19,32.22721771857077,917,0,10,73,0.073,83,73,0,0,0,190253,146,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p15_T=40p0_seed=2009_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
scan,1000,10,0.03,5.0,0.15,40.0,2010,false,Inf,0.0,0.0,-1.0,0.0,19,8.835513938403347,930,0,5,65,0.065,70,60,0,0,0,191476,125,false,data/sims/scan_N=1000_I0=10_beta=0p03_c=5p0_gamma=0p15_T=40p0_seed=2010_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=m1p0_vf=0p0.csv
