beta,c,gamma,replicates,peak_mean,peak_sd,peak_time_mean,R_fraction_mean,infected_mean,I_T_mean,extinction_fraction
0.03,5.0,0.15,10,17.3,5.696977756280566,18.461275166274177,0.05639999999999999,65.7,9.3,0.0
0.03,5.0,0.25,10,11.8,1.6865480854231354,1.190315624978792,0.023499999999999997,23.9,0.4,0.8
0.03,5.0,0.4,10,10.4,0.9660917830792959,0.0931002984591719,0.0165,16.5,0.0,1.0
0.03,10.0,0.15,10,173.2,23.540980815968094,28.422592488366615,0.5514999999999999,671.4,119.9,0.0
0.03,10.0,0.25,10,38.9,17.779201331893397,24.201389871592166,0.2012,223.5,22.3,0.1
0.03,10.0,0.4,10,12.6,2.4585451886114367,1.2405462874346342,0.0241,24.1,0.0,1.0
0.03,15.0,0.15,10,307.6,16.39241016785241,18.11895389222093,0.8846,928.9,44.3,0.0
0.03,15.0,0.25,10,146.1,26.551626859552112,20.40253354197992,0.7067,730.4,23.7,0.0
0.03,15.0,0.4,10,27.3,14.016260398392847,16.44704132313494,0.17839999999999998,183.9,5.5,0.3
0.05,5.0,0.15,10,93.9,38.736861571950364,33.19729637532737,0.31300000000000006,388.9,75.9,0.0
0.05,5.0,0.25,10,21.7,12.074306973441121,11.846494782548211,0.10129999999999999,106.9,5.6,0.3
0.05,5.0,0.4,10,12.1,2.5144029554194813,2.5151359002797453,0.032100000000000004,32.1,0.0,1.0
0.05,10.0,0.15,10,351.7,21.69510953597095,15.630981439537521,0.9229,954.9,32.0,0.0
0.05,10.0,0.25,10,174.6,22.096756926451146,17.921311620166218,0.7843,798.7,14.4,0.0
0.05,10.0,0.4,10,32.6,13.040109065665227,15.146414267346671,0.2476,255.9,8.3,0.2
0.05,15.0,0.15,10,469.4,14.538836878436246,10.277887205403772,0.9799000000000001,992.1,12.2,0.0
0.05,15.0,0.25,10,319.0,18.09849594733097,10.171935362344426,0.9367000000000001,938.1,1.4,0.4
0.05,15.0,0.4,10,146.6,22.39146662855691,12.608091003849157,0.7584,760.0,1.6,0.3
0.07,5.0,0.15,10,220.6,28.825914267084983,25.337195952353355,0.7027,805.4,102.7,0.0
0.07,5.0,0.25,10,62.1,13.370365240585864,28.577399821102574,0.34279999999999994,378.4,35.6,0.0
0.07,5.0,0.4,10,16.0,4.0276819911981905,5.402044747675158,0.0785,78.8,0.3,0.8
0.07,10.0,0.15,10,461.0,22.744962812309307,10.599666041993064,0.9782,989.5,11.3,0.0
0.07,10.0,0.25,10,288.6,18.596295927474973,11.208004323112139,0.9206,923.4,2.8,0.2
0.07,10.0,0.4,10,130.5,29.14808932179108,13.713016988214497,0.7076,711.0,3.4,0.2
0.07,15.0,0.15,10,591.3,14.802777517149346,7.461728743325497,0.9916999999999998,999.2,7.5,0.0
0.07,15.0,0.25,10,429.4,20.34262082973141,7.414067452232229,0.9826,983.0,0.4,0.7
0.07,15.0,0.4,10,271.8,24.04994802489186,8.234539440265197,0.9093,909.4,0.1,0.9
