family,N,I0,beta,c,gamma,T,seed,fixed,sigma,mu,birth_rate,vaccine_time,vaccine_fraction,peak_I,peak_time,S_T,E_T,I_T,R_T,R_fraction,ever_infected,new_infections,births,deaths,vaccinated,contacts,events,extinct,csv
vaccination,1000,10,0.05,10.0,0.25,40.0,5001,false,Inf,0.0,0.0,0.0,0.0,177,17.62277584258143,202,0,22,776,0.776,798,788,0,0,0,213036,1564,false,data/sims/vaccination_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=5001_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=0p0_vf=0p0.csv
vaccination,1000,10,0.05,10.0,0.25,40.0,5002,false,Inf,0.0,0.0,0.0,0.0,161,14.225568649849501,233,0,7,760,0.76,767,757,0,0,0,189980,1517,false,data/sims/vaccination_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=5002_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=0p0_vf=0p0.csv
vaccination,1000,10,0.05,10.0,0.25,40.0,5003,false,Inf,0.0,0.0,0.0,0.0,186,14.586394441202582,209,0,12,779,0.779,791,781,0,0,0,193995,1560,false,data/sims/vaccination_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=5003_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=0p0_vf=0p0.csv
vaccination,1000,10,0.05,10.0,0.25,40.0,5004,false,Inf,0.0,0.0,0.0,0.0,188,22.762844960524774,177,0,24,799,0.799,823,813,0,0,0,217597,1612,false,data/sims/vaccination_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=5004_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=0p0_vf=0p0.csv
vaccination,1000,10,0.05,10.0,0.25,40.0,5005,false,Inf,0.0,0.0,0.0,0.0,182,27.902900449467847,227,0,34,739,0.739,773,763,0,0,0,271309,1502,false,data/sims/vaccination_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=5005_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=0p0_vf=0p0.csv
vaccination,1000,10,0.05,10.0,0.25,40.0,5006,false,Inf,0.0,0.0,0.0,0.0,138,23.772373511590583,245,0,46,709,0.709,755,745,0,0,0,264230,1454,false,data/sims/vaccination_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=5006_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=0p0_vf=0p0.csv
vaccination,1000,10,0.05,10.0,0.25,40.0,5007,false,Inf,0.0,0.0,0.0,0.0,194,16.113795811929812,179,0,9,812,0.812,821,811,0,0,0,179961,1623,false,data/sims/vaccination_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=5007_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=0p0_vf=0p0.csv
vaccination,1000,10,0.05,10.0,0.25,40.0,5008,false,Inf,0.0,0.0,0.0,0.0,207,16.412874855012515,181,0,14,805,0.805,819,809,0,0,0,194614,1614,false,data/sims/vaccination_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=5008_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=0p0_vf=0p0.csv
vaccination,1000,10,0.05,10.0,0.25,40.0,5009,false,Inf,0.0,0.0,0.0,0.0,148,12.466514727102108,199,0,15,786,0.786,801,791,0,0,0,203827,1577,false,data/sims/vaccination_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=5009_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=0p0_vf=0p0.csv
vaccination,1000,10,0.05,10.0,0.25,40.0,5010,false,Inf,0.0,0.0,0.0,0.0,151,33.72965701850054,276,0,76,648,0.648,724,714,0,0,0,291603,1362,false,data/sims/vaccination_N=1000_I0=10_beta=0p05_c=10p0_gamma=0p25_T=40p0_seed=5010_fixed=false_sigma=Inf_mu=0p0_br=0p0_vt=0p0_vf=0p0.csv
