t,S,E,I,R,births,deaths,vaccinated,infections,event,person
0.0,990,0,10,0,0,0,0,0,initial,0
0.0420738288658842,989,0,11,0,0,0,0,1,infection,127
0.06847072951294715,988,0,12,0,0,0,0,2,infection,877
0.1688613795060716,987,0,13,0,0,0,0,3,infection,626
0.22763528166516128,986,0,14,0,0,0,0,4,infection,753
0.2968039106475116,985,0,15,0,0,0,0,5,infection,971
0.4340309734277905,984,0,16,0,0,0,0,6,infection,345
0.5567349562115557,983,0,17,0,0,0,0,7,infection,252
0.8398952476192305,982,0,18,0,0,0,0,8,infection,297
1.009156955001035,981,0,19,0,0,0,0,9,infection,161
1.0440743693194634,980,0,20,0,0,0,0,10,infection,629
1.0454966250397049,979,0,21,0,0,0,0,11,infection,637
1.2475984402917184,978,0,22,0,0,0,0,12,infection,305
1.3073719003333253,977,0,23,0,0,0,0,13,infection,892
1.3899121250508164,976,0,24,0,0,0,0,14,infection,399
1.4744523071683937,975,0,25,0,0,0,0,15,infection,300
1.4750499449750218,974,0,26,0,0,0,0,16,infection,752
1.5132738285786156,973,0,27,0,0,0,0,17,infection,197
1.5983069231049198,972,0,28,0,0,0,0,18,infection,634
1.7436645760851444,971,0,29,0,0,0,0,19,infection,128
1.7749084608325756,970,0,30,0,0,0,0,20,infection,983
1.8013819717857118,969,0,31,0,0,0,0,21,infection,60
1.8265152569667584,968,0,32,0,0,0,0,22,infection,206
1.8355352238333793,967,0,33,0,0,0,0,23,infection,720
1.840138285710462,966,0,34,0,0,0,0,24,infection,972
1.8421471828421734,965,0,35,0,0,0,0,25,infection,849
1.8914656865619928,964,0,36,0,0,0,0,26,infection,104
2.018927440971057,963,0,37,0,0,0,0,27,infection,441
2.054115090461983,962,0,38,0,0,0,0,28,infection,182
2.1093184635009714,961,0,39,0,0,0,0,29,infection,472
2.1837899200658484,960,0,40,0,0,0,0,30,infection,575
2.1842146548817096,959,0,41,0,0,0,0,31,infection,164
2.297575558988636,958,0,42,0,0,0,0,32,infection,223
2.398549015301355,957,0,43,0,0,0,0,33,infection,480
2.4119072731469173,956,0,44,0,0,0,0,34,infection,522
2.4499826961502587,955,0,45,0,0,0,0,35,infection,833
2.517793901926724,954,0,46,0,0,0,0,36,infection,908
2.5328888807880108,953,0,47,0,0,0,0,37,infection,171
2.553199163926303,952,0,48,0,0,0,0,38,infection,221
2.6039322543760703,951,0,49,0,0,0,0,39,infection,702
2.6108717528905068,950,0,50,0,0,0,0,40,infection,34
2.62622798961537,949,0,51,0,0,0,0,41,infection,4
2.6300437142155957,948,0,52,0,0,0,0,42,infection,621
2.689739289255227,947,0,53,0,0,0,0,43,infection,117
2.7478252825066285,946,0,54,0,0,0,0,44,infection,791
2.8850273486528675,945,0,55,0,0,0,0,45,infection,736
2.9358407672081666,944,0,56,0,0,0,0,46,infection,217
2.95581594208823,943,0,57,0,0,0,0,47,infection,406
2.972548434688949,942,0,58,0,0,0,0,48,infection,155
2.9789752409290386,941,0,59,0,0,0,0,49,infection,1
3.0008013494247625,940,0,60,0,0,0,0,50,infection,644
3.049009736515426,939,0,61,0,0,0,0,51,infection,403
3.0749814942954283,938,0,62,0,0,0,0,52,infection,535
3.087776964212224,937,0,63,0,0,0,0,53,infection,773
3.125691921929057,936,0,64,0,0,0,0,54,infection,656
3.1786003099799065,935,0,65,0,0,0,0,55,infection,888
3.2999333943853055,934,0,66,0,0,0,0,56,infection,343
3.3021835815474265,933,0,67,0,0,0,0,57,infection,464
3.3095880928792347,932,0,68,0,0,0,0,58,infection,326
3.3399154116620395,931,0,69,0,0,0,0,59,infection,130
3.343902720882032,930,0,70,0,0,0,0,60,infection,713
3.392363020559347,929,0,71,0,0,0,0,61,infection,958
3.3927568915598547,928,0,72,0,0,0,0,62,infection,162
3.398345232739256,927,0,73,0,0,0,0,63,infection,804
3.541685789316745,926,0,74,0,0,0,0,64,infection,437
3.614745695838441,925,0,75,0,0,0,0,65,infection,557
3.6940219532340604,924,0,76,0,0,0,0,66,infection,985
3.7179544097436743,923,0,77,0,0,0,0,67,infection,956
3.7195816263888917,922,0,78,0,0,0,0,68,infection,453
3.7455944276291717,921,0,79,0,0,0,0,69,infection,612
3.747117372619385,920,0,80,0,0,0,0,70,infection,357
3.783861498622798,919,0,81,0,0,0,0,71,infection,792
3.8643480389764595,918,0,82,0,0,0,0,72,infection,425
3.875933147969236,917,0,83,0,0,0,0,73,infection,732
3.8825252540813597,916,0,84,0,0,0,0,74,infection,658
3.9384442530119133,915,0,85,0,0,0,0,75,infection,695
3.9446342428443137,914,0,86,0,0,0,0,76,infection,412
3.981760571413069,913,0,87,0,0,0,0,77,infection,363
3.996165935463915,912,0,88,0,0,0,0,78,infection,328
4.0,912,0,87,1,0,0,0,78,recovery,991
4.0,912,0,86,2,0,0,0,78,recovery,992
4.0,912,0,85,3,0,0,0,78,recovery,993
4.0,912,0,84,4,0,0,0,78,recovery,994
4.0,912,0,83,5,0,0,0,78,recovery,995
4.0,912,0,82,6,0,0,0,78,recovery,996
4.0,912,0,81,7,0,0,0,78,recovery,997
4.0,912,0,80,8,0,0,0,78,recovery,998
4.0,912,0,79,9,0,0,0,78,recovery,999
4.0,912,0,78,10,0,0,0,78,recovery,1000
4.0040845930213225,911,0,79,10,0,0,0,79,infection,416
4.042073828865885,911,0,78,11,0,0,0,79,recovery,127
4.049721590719629,910,0,79,11,0,0,0,80,infection,871
4.055275540817919,909,0,80,11,0,0,0,81,infection,881
4.068470729512947,909,0,79,12,0,0,0,81,recovery,877
4.098272565860988,908,0,80,12,0,0,0,82,infection,313
4.098593686761869,907,0,81,12,0,0,0,83,infection,878
4.14459328116183,906,0,82,12,0,0,0,84,infection,687
4.161206661141511,905,0,83,12,0,0,0,85,infection,825
4.168861379506072,905,0,82,13,0,0,0,85,recovery,626
4.184075023861928,904,0,83,13,0,0,0,86,infection,243
4.217210755637403,903,0,84,13,0,0,0,87,infection,979
4.227635281665162,903,0,83,14,0,0,0,87,recovery,753
4.2319335185399485,902,0,84,14,0,0,0,88,infection,865
4.232442374044628,901,0,85,14,0,0,0,89,infection,356
4.232729218253902,900,0,86,14,0,0,0,90,infection,187
4.293853360572536,899,0,87,14,0,0,0,91,infection,227
4.296803910647512,899,0,86,15,0,0,0,91,recovery,971
4.332528258810085,898,0,87,15,0,0,0,92,infection,254
4.33918376041704,897,0,88,15,0,0,0,93,infection,946
4.349591944804263,896,0,89,15,0,0,0,94,infection,876
4.371058557613085,895,0,90,15,0,0,0,95,infection,144
4.38832369447591,894,0,91,15,0,0,0,96,infection,933
4.398651025952739,893,0,92,15,0,0,0,97,infection,531
4.4155481407286805,892,0,93,15,0,0,0,98,infection,771
4.419904504146772,891,0,94,15,0,0,0,99,infection,451
4.421380560686743,890,0,95,15,0,0,0,100,infection,106
4.423040422416964,889,0,96,15,0,0,0,101,infection,293
4.434030973427791,889,0,95,16,0,0,0,101,recovery,345
4.473310185482441,888,0,96,16,0,0,0,102,infection,527
4.475068688799377,887,0,97,16,0,0,0,103,infection,334
4.517234596705115,886,0,98,16,0,0,0,104,infection,320
4.556734956211556,886,0,97,17,0,0,0,104,recovery,252
4.564571174637171,885,0,98,17,0,0,0,105,infection,64
4.569946217367133,884,0,99,17,0,0,0,106,infection,618
4.587215194205449,883,0,100,17,0,0,0,107,infection,708
4.611836775406736,882,0,101,17,0,0,0,108,infection,449
4.64784538349289,881,0,102,17,0,0,0,109,infection,225
4.650653081094217,880,0,103,17,0,0,0,110,infection,36
4.661626888535122,879,0,104,17,0,0,0,111,infection,882
4.7273594779335175,878,0,105,17,0,0,0,112,infection,344
4.7431600979333295,877,0,106,17,0,0,0,113,infection,170
4.751895515678659,876,0,107,17,0,0,0,114,infection,222
4.757416130910521,875,0,108,17,0,0,0,115,infection,447
4.7840397851384875,874,0,109,17,0,0,0,116,infection,167
4.786947819693946,873,0,110,17,0,0,0,117,infection,853
4.819017289773578,872,0,111,17,0,0,0,118,infection,192
4.83989524761923,872,0,110,18,0,0,0,118,recovery,297
4.847352299320605,871,0,111,18,0,0,0,119,infection,459
4.884312782456784,870,0,112,18,0,0,0,120,infection,495
4.927847920106058,869,0,113,18,0,0,0,121,infection,52
4.9611786593144585,868,0,114,18,0,0,0,122,infection,659
4.961187828980507,867,0,115,18,0,0,0,123,infection,808
4.974136400377802,866,0,116,18,0,0,0,124,infection,504
4.979061490027773,865,0,117,18,0,0,0,125,infection,688
4.9941387979008,864,0,118,18,0,0,0,126,infection,470
4.997137002413084,863,0,119,18,0,0,0,127,infection,717
5.0091569550010355,863,0,118,19,0,0,0,127,recovery,161
5.010671561471449,862,0,119,19,0,0,0,128,infection,759
5.011433482663845,861,0,120,19,0,0,0,129,infection,855
5.030001785717458,860,0,121,19,0,0,0,130,infection,730
5.044074369319463,860,0,120,20,0,0,0,130,recovery,629
5.045496625039705,860,0,119,21,0,0,0,130,recovery,637
5.087621673410743,859,0,120,21,0,0,0,131,infection,642
5.113520652440526,858,0,121,21,0,0,0,132,infection,799
5.13307047245677,857,0,122,21,0,0,0,133,infection,945
5.1351021870432225,856,0,123,21,0,0,0,134,infection,88
5.1434798006964195,855,0,124,21,0,0,0,135,infection,423
5.144025078581478,854,0,125,21,0,0,0,136,infection,567
5.182381811388209,853,0,126,21,0,0,0,137,infection,987
5.203156946080544,852,0,127,21,0,0,0,138,infection,566
5.20376537566902,851,0,128,21,0,0,0,139,infection,211
5.205416326692439,850,0,129,21,0,0,0,140,infection,427
5.247598440291719,850,0,128,22,0,0,0,140,recovery,305
5.267351362769885,849,0,129,22,0,0,0,141,infection,178
5.272368316535645,848,0,130,22,0,0,0,142,infection,769
5.283652503909904,847,0,131,22,0,0,0,143,infection,385
5.305023329740225,846,0,132,22,0,0,0,144,infection,518
5.307371900333325,846,0,131,23,0,0,0,144,recovery,892
5.320834369337168,845,0,132,23,0,0,0,145,infection,632
5.321890575948557,844,0,133,23,0,0,0,146,infection,7
5.337099329926906,843,0,134,23,0,0,0,147,infection,307
5.355513381587544,842,0,135,23,0,0,0,148,infection,496
5.3854024251085075,841,0,136,23,0,0,0,149,infection,968
5.389912125050817,841,0,135,24,0,0,0,149,recovery,399
5.391772192606319,840,0,136,24,0,0,0,150,infection,711
5.400276846186567,839,0,137,24,0,0,0,151,infection,739
5.409128175765511,838,0,138,24,0,0,0,152,infection,98
5.409605007758283,837,0,139,24,0,0,0,153,infection,731
5.4238699141965805,836,0,140,24,0,0,0,154,infection,18
5.474452307168393,836,0,139,25,0,0,0,154,recovery,300
5.475049944975022,836,0,138,26,0,0,0,154,recovery,752
5.479081914667155,835,0,139,26,0,0,0,155,infection,268
5.490498843708902,834,0,140,26,0,0,0,156,infection,635
5.513273828578615,834,0,139,27,0,0,0,156,recovery,197
5.537847819870384,833,0,140,27,0,0,0,157,infection,391
5.555231576928913,832,0,141,27,0,0,0,158,infection,744
5.559030153149345,831,0,142,27,0,0,0,159,infection,137
5.5924178813479,830,0,143,27,0,0,0,160,infection,218
5.59830692310492,830,0,142,28,0,0,0,160,recovery,634
5.6074695080424535,829,0,143,28,0,0,0,161,infection,552
5.630569513765251,828,0,144,28,0,0,0,162,infection,450
5.688674678764611,827,0,145,28,0,0,0,163,infection,250
5.6942486682570985,826,0,146,28,0,0,0,164,infection,943
5.718260689666211,825,0,147,28,0,0,0,165,infection,151
5.7283322982371985,824,0,148,28,0,0,0,166,infection,298
5.743664576085145,824,0,147,29,0,0,0,166,recovery,128
5.7519416012337645,823,0,148,29,0,0,0,167,infection,974
5.7709909793413185,822,0,149,29,0,0,0,168,infection,510
5.774908460832576,822,0,148,30,0,0,0,168,recovery,983
5.786343304200039,821,0,149,30,0,0,0,169,infection,267
5.788600144230536,820,0,150,30,0,0,0,170,infection,860
5.792903010908714,819,0,151,30,0,0,0,171,infection,955
5.799464830790518,818,0,152,30,0,0,0,172,infection,609
5.801381971785712,818,0,151,31,0,0,0,172,recovery,60
5.82004643622899,817,0,152,31,0,0,0,173,infection,194
5.824030213256918,816,0,153,31,0,0,0,174,infection,498
5.826515256966759,816,0,152,32,0,0,0,174,recovery,206
5.8354066391513495,815,0,153,32,0,0,0,175,infection,750
5.8355352238333795,815,0,152,33,0,0,0,175,recovery,720
5.840138285710462,815,0,151,34,0,0,0,175,recovery,972
5.84161390857861,814,0,152,34,0,0,0,176,infection,710
5.842147182842173,814,0,151,35,0,0,0,176,recovery,849
5.849012049984453,813,0,152,35,0,0,0,177,infection,141
5.85094295854115,812,0,153,35,0,0,0,178,infection,456
5.878464343264616,811,0,154,35,0,0,0,179,infection,405
5.8800552772312695,810,0,155,35,0,0,0,180,infection,942
5.891465686561993,810,0,154,36,0,0,0,180,recovery,104
5.902560240671072,809,0,155,36,0,0,0,181,infection,963
5.908748872749171,808,0,156,36,0,0,0,182,infection,785
5.921580839624946,807,0,157,36,0,0,0,183,infection,442
5.925072062466728,806,0,158,36,0,0,0,184,infection,842
5.932733087512015,805,0,159,36,0,0,0,185,infection,331
5.934273602297346,804,0,160,36,0,0,0,186,infection,657
5.934311597686578,803,0,161,36,0,0,0,187,infection,397
5.940384381079693,802,0,162,36,0,0,0,188,infection,587
5.942780648207099,801,0,163,36,0,0,0,189,infection,762
5.955901941598868,800,0,164,36,0,0,0,190,infection,411
5.961557264559065,799,0,165,36,0,0,0,191,infection,224
5.967270782662473,798,0,166,36,0,0,0,192,infection,473
5.983635247647613,797,0,167,36,0,0,0,193,infection,844
5.987086082359731,796,0,168,36,0,0,0,194,infection,827
5.994598327963477,795,0,169,36,0,0,0,195,infection,244
6.016893588630104,794,0,170,36,0,0,0,196,infection,729
6.018617870721697,793,0,171,36,0,0,0,197,infection,231
6.018927440971057,793,0,170,37,0,0,0,197,recovery,441
6.031527024790585,792,0,171,37,0,0,0,198,infection,393
6.054115090461983,792,0,170,38,0,0,0,198,recovery,182
6.055243576423419,791,0,171,38,0,0,0,199,infection,433
6.056144953622301,790,0,172,38,0,0,0,200,infection,295
6.059918414670091,789,0,173,38,0,0,0,201,infection,454
6.086675704412575,788,0,174,38,0,0,0,202,infection,226
6.109318463500971,788,0,173,39,0,0,0,202,recovery,472
