t,S,E,I,R,births,deaths,vaccinated,infections,event,person
0.0,990,0,10,0,0,0,0,0,initial,0
0.038913845217287746,989,0,11,0,0,0,0,1,infection,3
0.10450601457644082,989,0,10,1,0,0,0,1,recovery,991
0.13117281549186527,988,0,11,1,0,0,0,2,infection,843
0.5014286585048823,987,0,12,1,0,0,0,3,infection,494
0.5429875319821408,987,0,11,2,0,0,0,3,recovery,998
0.7120777934156397,986,0,12,2,0,0,0,4,infection,680
0.7217586573223633,985,0,13,2,0,0,0,5,infection,819
0.7751073895625274,985,0,12,3,0,0,0,5,recovery,494
0.8303534501280284,984,0,13,3,0,0,0,6,infection,741
0.8938526076753929,983,0,14,3,0,0,0,7,infection,403
0.9772701149521527,982,0,15,3,0,0,0,8,infection,238
1.0447641696245467,982,0,14,4,0,0,0,8,recovery,994
1.0669465596142416,982,0,13,5,0,0,0,8,recovery,993
1.0700735745960097,981,0,14,5,0,0,0,9,infection,965
1.0777204994642093,980,0,15,5,0,0,0,10,infection,693
1.2613560060916975,980,0,14,6,0,0,0,10,recovery,680
1.3379501838132417,980,0,13,7,0,0,0,10,recovery,997
1.544700407367574,980,0,12,8,0,0,0,10,recovery,996
1.6873627222125442,979,0,13,8,0,0,0,11,infection,344
1.712185267576596,979,0,12,9,0,0,0,11,recovery,995
1.8932421311607739,979,0,11,10,0,0,0,11,recovery,403
1.899184586948354,979,0,10,11,0,0,0,11,recovery,238
1.946278287209021,979,0,9,12,0,0,0,11,recovery,3
2.1794889938228525,979,0,8,13,0,0,0,11,recovery,992
2.264824914290969,978,0,9,13,0,0,0,12,infection,890
2.349441186043994,978,0,8,14,0,0,0,12,recovery,1000
2.4024411113364024,977,0,9,14,0,0,0,13,infection,675
2.7745406069330416,977,0,8,15,0,0,0,13,recovery,890
2.8851209158494258,977,0,7,16,0,0,0,13,recovery,675
2.890116960583508,977,0,6,17,0,0,0,13,recovery,999
3.042331666270383,976,0,7,17,0,0,0,14,infection,567
3.1116925123511656,976,0,6,18,0,0,0,14,recovery,843
3.312990837430156,975,0,7,18,0,0,0,15,infection,263
3.4006906631016673,975,0,6,19,0,0,0,15,recovery,344
3.615143790860055,975,0,5,20,0,0,0,15,recovery,965
4.338822793379083,975,0,4,21,0,0,0,15,recovery,741
4.6417365242387945,974,0,5,21,0,0,0,16,infection,948
4.761576371501301,974,0,4,22,0,0,0,16,recovery,819
4.962097746498181,974,0,3,23,0,0,0,16,recovery,263
5.3308727677342835,974,0,2,24,0,0,0,16,recovery,948
5.778120228631225,974,0,1,25,0,0,0,16,recovery,567
12.213111446231954,974,0,0,26,0,0,0,16,recovery,693
40.0,974,0,0,26,0,0,0,16,horizon,0
