t,S,E,I,R,births,deaths,vaccinated,infections,event,person
0.0,990,0,10,0,0,0,0,0,initial,0
0.015598521652171704,989,1,10,0,0,0,0,1,infection,583
0.25946588275221305,988,2,10,0,0,0,0,2,infection,350
0.2698101171932644,988,2,9,1,0,0,0,2,recovery,999
0.3863956496962112,987,3,9,1,0,0,0,3,infection,780
0.660535139564012,986,4,9,1,0,0,0,4,infection,237
0.664684287984911,986,3,10,1,0,0,0,4,infectious,583
0.6858422427702094,986,3,9,2,0,0,0,4,recovery,997
0.6955642594153757,986,2,10,2,0,0,0,4,infectious,350
0.9024684366689544,986,1,11,2,0,0,0,4,infectious,237
0.9912465786909201,985,2,11,2,0,0,0,5,infection,424
1.1790307249062064,985,2,10,3,0,0,0,5,recovery,995
1.1828886641000065,984,3,10,3,0,0,0,6,infection,975
1.2335588808231877,983,4,10,3,0,0,0,7,infection,531
1.3760597801655718,983,4,9,4,0,0,0,7,recovery,237
1.511544889293639,982,5,9,4,0,0,0,8,infection,927
1.71701342949752,982,4,10,4,0,0,0,8,infectious,927
1.717116946517246,982,4,9,5,0,0,0,8,recovery,998
1.7400274904914244,982,3,10,5,0,0,0,8,infectious,780
1.88002227413436,982,2,11,5,0,0,0,8,infectious,424
1.931038241076577,981,3,11,5,0,0,0,9,infection,503
1.9670270146914786,980,4,11,5,0,0,0,10,infection,325
2.0669528546432776,980,3,12,5,0,0,0,10,infectious,975
2.1639886921637497,980,3,11,6,0,0,0,10,recovery,991
2.2545661924149476,979,4,11,6,0,0,0,11,infection,921
2.2579238292661126,978,5,11,6,0,0,0,12,infection,105
2.353991548793343,978,4,12,6,0,0,0,12,infectious,105
2.3613176295871163,977,5,12,6,0,0,0,13,infection,10
2.484774782478878,976,6,12,6,0,0,0,14,infection,326
2.545014388683571,976,5,13,6,0,0,0,14,infectious,503
2.586259614725984,975,6,13,6,0,0,0,15,infection,86
2.5988458071115086,975,5,14,6,0,0,0,15,infectious,921
2.6146079014624806,975,5,13,7,0,0,0,15,recovery,975
2.739295371472018,975,4,14,7,0,0,0,15,infectious,531
2.869379190544628,974,5,14,7,0,0,0,16,infection,875
2.900805947945375,974,5,13,8,0,0,0,16,recovery,105
3.0985276062719658,974,5,12,9,0,0,0,16,recovery,992
3.2149924805418477,974,5,11,10,0,0,0,16,recovery,531
3.258493480520583,974,5,10,11,0,0,0,16,recovery,927
3.294599091349193,973,6,10,11,0,0,0,17,infection,869
3.3628267663631712,973,5,11,11,0,0,0,17,infectious,86
3.3971839387810285,973,4,12,11,0,0,0,17,infectious,10
3.5132326786536883,972,5,12,11,0,0,0,18,infection,715
3.584220890717911,972,4,13,11,0,0,0,18,infectious,325
3.6717560572397616,972,3,14,11,0,0,0,18,infectious,715
3.9791472569695867,971,4,14,11,0,0,0,19,infection,931
4.085702886654313,971,3,15,11,0,0,0,19,infectious,875
4.175819576375081,971,3,14,12,0,0,0,19,recovery,875
